,Product,Minimum,Maximum,Average,Date
14,Carrot(Local) KG,55.0,60.0,58.0,2017-01-03
15,Cauli Local KG,18.0,20.0,19.0,2017-01-03
16,Cauli Terai KG,10.0,15.0,12.0,2017-01-03
17,Celery KG,90.0,100.0,95.0,2017-01-03
18,Chilli Dry KG,270.0,280.0,275.0,2017-01-03
19,Chilli Green KG,45.0,50.0,48.0,2017-01-03
20,Christophine KG,15.0,20.0,18.0,2017-01-03
21,Clive Dry KG,200.0,210.0,205.0,2017-01-03
22,Clive Green KG,70.0,80.0,75.0,2017-01-03
23,Coriander Green KG,60.0,70.0,65.0,2017-01-03
24,Cow pea(Long) KG,50.0,55.0,52.0,2017-01-03
25,Cress Leaf KG,30.0,35.0,33.0,2017-01-03
26,Cucumber(Local) KG,20.0,25.0,22.0,2017-01-03
27,Fennel Leaf KG,60.0,70.0,65.0,2017-01-03
28,Fenugreek Leaf KG,40.0,45.0,43.0,2017-01-03
29,Fish Fresh KG,225.0,230.0,228.0,2017-01-03
30,French Bean(Local) KG,35.0,40.0,38.0,2017-01-03
31,Garlic Dry Chinese KG,340.0,350.0,345.0,2017-01-03
32,Garlic Dry Nepali KG,310.0,320.0,314.0,2017-01-03
33,Garlic Green KG,120.0,130.0,125.0,2017-01-03
34,Ginger KG,40.0,50.0,45.0,2017-01-03
35,Green Peas KG,25.0,30.0,28.0,2017-01-03
36,Knolkhol KG,30.0,35.0,33.0,2017-01-03
37,Lemon KG,40.0,50.0,45.0,2017-01-03
38,Lettuce KG,40.0,45.0,43.0,2017-01-03
39,Lime KG,400.0,450.0,425.0,2017-01-03
40,Mint KG,90.0,100.0,95.0,2017-01-03
41,Mombin KG,35.0,40.0,38.0,2017-01-03
42,Mushroom(Kanya) KG,120.0,130.0,125.0,2017-01-03
43,Mustard Leaf KG,40.0,45.0,43.0,2017-01-03
44,Okara KG,120.0,130.0,125.0,2017-01-03
45,Onion Dry (Indian) KG,25.0,27.0,26.0,2017-01-03
46,Onion Green KG,30.0,40.0,35.0,2017-01-03
47,Orange(Nepali) KG,80.0,90.0,85.0,2017-01-03
48,Papaya(Nepali) KG,60.0,70.0,65.0,2017-01-03
49,Parseley KG,90.0,100.0,95.0,2017-01-03
50,Pear(Local) KG,100.0,110.0,105.0,2017-01-03
51,Pineapple 1 Pc,100.0,110.0,105.0,2017-01-03
52,Pointed Gourd(Local) KG,45.0,50.0,48.0,2017-01-03
53,Pomegranate KG,200.0,210.0,205.0,2017-01-03
54,Potato Red KG,28.0,30.0,29.0,2017-01-03
55,Potato White KG,20.0,22.0,21.0,2017-01-03
56,Pumpkin KG,20.0,25.0,22.0,2017-01-03
57,Raddish Red KG,18.0,20.0,19.0,2017-01-03
58,Raddish White(Local) KG,18.0,20.0,19.0,2017-01-03
59,Spinach Leaf KG,20.0,25.0,22.0,2017-01-03
60,Squash(Long) KG,10.0,15.0,12.0,2017-01-03
61,Sugarbeet KG,90.0,100.0,95.0,2017-01-03
62,Sweet Orange KG,100.0,110.0,105.0,2017-01-03
63,Sweet Potato KG,50.0,60.0,55.0,2017-01-03
64,Sword Bean KG,25.0,30.0,28.0,2017-01-03
65,Tamarind KG,90.0,100.0,95.0,2017-01-03
66,Tofu KG,80.0,90.0,85.0,2017-01-03
67,Tomato Big(Nepali) KG,25.0,30.0,28.0,2017-01-03
68,Tomato Small(Local) KG,20.0,30.0,25.0,2017-01-03
69,Turnip A KG,30.0,35.0,33.0,2017-01-03
70,Water Melon(Green) KG,60.0,70.0,65.0,2017-01-03
71,Yam KG,25.0,30.0,28.0,2017-01-03
0,Apple(Jholey) KG,90.0,100.0,95.0,2017-01-04
1,Arum KG,35.0,40.0,38.0,2017-01-04
2,Bakula KG,50.0,55.0,52.0,2017-01-04
3,Bamboo Shoot KG,120.0,130.0,125.0,2017-01-04
4,Banana Per Dozen,70.0,80.0,75.0,2017-01-04
5,Barela KG,35.0,40.0,38.0,2017-01-04
6,Bitter Gourd KG,75.0,80.0,78.0,2017-01-04
7,Bottle Gourd KG,20.0,25.0,22.0,2017-01-04
8,Brd Leaf Mustard KG,25.0,30.0,28.0,2017-01-04
9,Brinjal Long KG,30.0,35.0,33.0,2017-01-04
10,Brinjal Round KG,30.0,35.0,33.0,2017-01-04
11,Brocauli KG,20.0,25.0,22.0,2017-01-04
12,Cabbage(Local) KG,18.0,20.0,19.0,2017-01-04
13,Capsicum KG,35.0,40.0,38.0,2017-01-04
14,Carrot(Local) KG,55.0,60.0,58.0,2017-01-04
15,Cauli Local KG,18.0,20.0,19.0,2017-01-04
16,Cauli Terai KG,10.0,15.0,12.0,2017-01-04
17,Celery KG,90.0,100.0,95.0,2017-01-04
18,Chilli Dry KG,270.0,280.0,275.0,2017-01-04
19,Chilli Green KG,45.0,50.0,48.0,2017-01-04
20,Christophine KG,15.0,20.0,18.0,2017-01-04
21,Clive Dry KG,200.0,210.0,205.0,2017-01-04
22,Clive Green KG,70.0,80.0,75.0,2017-01-04
23,Coriander Green KG,70.0,80.0,75.0,2017-01-04
24,Cow pea(Long) KG,50.0,55.0,52.0,2017-01-04
25,Cress Leaf KG,30.0,35.0,33.0,2017-01-04
26,Cucumber(Local) KG,20.0,25.0,22.0,2017-01-04
27,Fennel Leaf KG,60.0,70.0,65.0,2017-01-04
28,Fenugreek Leaf KG,40.0,45.0,43.0,2017-01-04
29,Fish Fresh KG,225.0,230.0,228.0,2017-01-04
30,French Bean(Local) KG,35.0,40.0,38.0,2017-01-04
31,Garlic Dry Chinese KG,340.0,350.0,345.0,2017-01-04
32,Garlic Dry Nepali KG,310.0,320.0,315.0,2017-01-04
33,Garlic Green KG,100.0,110.0,105.0,2017-01-04
34,Ginger KG,40.0,45.0,42.0,2017-01-04
35,Green Peas KG,25.0,30.0,28.0,2017-01-04
36,Knolkhol KG,30.0,40.0,35.0,2017-01-04
37,Lemon KG,40.0,50.0,45.0,2017-01-04
38,Lettuce KG,40.0,45.0,43.0,2017-01-04
39,Lime KG,400.0,450.0,425.0,2017-01-04
40,Mint KG,90.0,100.0,95.0,2017-01-04
41,Mombin KG,35.0,40.0,38.0,2017-01-04
42,Mushroom(Kanya) KG,120.0,130.0,125.0,2017-01-04
43,Mustard Leaf KG,40.0,45.0,43.0,2017-01-04
44,Okara KG,120.0,130.0,125.0,2017-01-04
45,Onion Dry (Indian) KG,25.0,27.0,26.0,2017-01-04
46,Onion Green KG,30.0,35.0,33.0,2017-01-04
47,Orange(Nepali) KG,80.0,90.0,85.0,2017-01-04
48,Papaya(Nepali) KG,60.0,70.0,65.0,2017-01-04
49,Parseley KG,90.0,100.0,95.0,2017-01-04
50,Pear(Local) KG,100.0,110.0,105.0,2017-01-04
51,Pineapple 1 Pc,100.0,110.0,105.0,2017-01-04
52,Pointed Gourd(Local) KG,45.0,50.0,48.0,2017-01-04
53,Pomegranate KG,200.0,210.0,205.0,2017-01-04
54,Potato Red KG,28.0,30.0,29.0,2017-01-04
55,Potato White KG,20.0,22.0,21.0,2017-01-04
56,Pumpkin KG,20.0,25.0,22.0,2017-01-04
57,Raddish Red KG,18.0,20.0,19.0,2017-01-04
58,Raddish White(Local) KG,18.0,20.0,19.0,2017-01-04
59,Spinach Leaf KG,25.0,30.0,28.0,2017-01-04
60,Squash(Long) KG,10.0,15.0,12.0,2017-01-04
61,Sugarbeet KG,90.0,100.0,95.0,2017-01-04
62,Sweet Orange KG,100.0,110.0,105.0,2017-01-04
63,Sweet Potato KG,50.0,55.0,52.0,2017-01-04
64,Sword Bean KG,25.0,30.0,28.0,2017-01-04
65,Tamarind KG,90.0,100.0,95.0,2017-01-04
66,Tofu KG,80.0,90.0,85.0,2017-01-04
67,Tomato Big(Nepali) KG,35.0,40.0,38.0,2017-01-04
68,Tomato Small(Local) KG,20.0,30.0,25.0,2017-01-04
69,Turnip A KG,30.0,40.0,35.0,2017-01-04
70,Water Melon(Green) KG,60.0,70.0,65.0,2017-01-04
71,Yam KG,25.0,30.0,28.0,2017-01-04
0,Apple(Jholey) KG,90.0,100.0,95.0,2017-01-05
1,Arum KG,35.0,40.0,38.0,2017-01-05
2,Bakula KG,50.0,60.0,55.0,2017-01-05
3,Bamboo Shoot KG,120.0,130.0,125.0,2017-01-05
4,Banana Per Dozen,70.0,80.0,75.0,2017-01-05
5,Barela KG,35.0,40.0,38.0,2017-01-05
6,Bitter Gourd KG,75.0,80.0,78.0,2017-01-05
7,Bottle Gourd KG,30.0,35.0,33.0,2017-01-05
8,Brd Leaf Mustard KG,25.0,30.0,28.0,2017-01-05
9,Brinjal Long KG,30.0,35.0,33.0,2017-01-05
10,Brinjal Round KG,30.0,35.0,33.0,2017-01-05
11,Brocauli KG,25.0,30.0,28.0,2017-01-05
12,Cabbage(Local) KG,18.0,20.0,19.0,2017-01-05
13,Capsicum KG,35.0,40.0,38.0,2017-01-05
14,Carrot(Local) KG,55.0,60.0,58.0,2017-01-05
15,Cauli Local KG,18.0,20.0,19.0,2017-01-05
16,Cauli Terai KG,12.0,15.0,14.0,2017-01-05
17,Celery KG,90.0,100.0,95.0,2017-01-05
18,Chilli Dry KG,270.0,280.0,275.0,2017-01-05
19,Chilli Green KG,45.0,50.0,48.0,2017-01-05
20,Christophine KG,15.0,20.0,18.0,2017-01-05
21,Clive Dry KG,200.0,210.0,205.0,2017-01-05
22,Clive Green KG,70.0,80.0,75.0,2017-01-05
23,Coriander Green KG,70.0,80.0,75.0,2017-01-05
24,Cow pea(Long) KG,50.0,55.0,52.0,2017-01-05
25,Cress Leaf KG,30.0,35.0,33.0,2017-01-05
26,Cucumber(Local) KG,20.0,25.0,22.0,2017-01-05
27,Fennel Leaf KG,60.0,70.0,65.0,2017-01-05
28,Fenugreek Leaf KG,40.0,45.0,43.0,2017-01-05
29,Fish Fresh KG,225.0,230.0,228.0,2017-01-05
30,French Bean(Local) KG,35.0,40.0,38.0,2017-01-05
31,Garlic Dry Chinese KG,340.0,350.0,345.0,2017-01-05
32,Garlic Dry Nepali KG,310.0,320.0,315.0,2017-01-05
33,Garlic Green KG,100.0,110.0,105.0,2017-01-05
34,Ginger KG,40.0,50.0,45.0,2017-01-05
35,Green Peas KG,25.0,30.0,28.0,2017-01-05
36,Knolkhol KG,30.0,35.0,33.0,2017-01-05
37,Lemon KG,40.0,50.0,45.0,2017-01-05
38,Lettuce KG,40.0,45.0,43.0,2017-01-05
39,Lime KG,400.0,450.0,425.0,2017-01-05
40,Mint KG,90.0,100.0,95.0,2017-01-05
41,Mombin KG,35.0,40.0,38.0,2017-01-05
42,Mushroom(Kanya) KG,120.0,130.0,125.0,2017-01-05
43,Mustard Leaf KG,40.0,45.0,43.0,2017-01-05
44,Okara KG,120.0,130.0,125.0,2017-01-05
45,Onion Dry (Indian) KG,25.0,27.0,26.0,2017-01-05
46,Onion Green KG,30.0,35.0,33.0,2017-01-05
47,Orange(Nepali) KG,80.0,90.0,85.0,2017-01-05
48,Papaya(Nepali) KG,60.0,70.0,65.0,2017-01-05
49,Parseley KG,90.0,100.0,95.0,2017-01-05
50,Pear(Local) KG,100.0,110.0,105.0,2017-01-05
51,Pineapple 1 Pc,100.0,110.0,105.0,2017-01-05
52,Pointed Gourd(Local) KG,45.0,50.0,48.0,2017-01-05
53,Pomegranate KG,200.0,210.0,205.0,2017-01-05
54,Potato Red KG,28.0,30.0,29.0,2017-01-05
55,Potato White KG,20.0,21.0,20.0,2017-01-05
56,Pumpkin KG,20.0,22.0,21.0,2017-01-05
57,Raddish Red KG,18.0,20.0,19.0,2017-01-05
58,Raddish White(Local) KG,18.0,20.0,19.0,2017-01-05
59,Spinach Leaf KG,25.0,30.0,28.0,2017-01-05
60,Squash(Long) KG,10.0,15.0,12.0,2017-01-05
61,Sugarbeet KG,90.0,100.0,95.0,2017-01-05
62,Sweet Orange KG,100.0,110.0,105.0,2017-01-05
63,Sweet Potato KG,55.0,60.0,58.0,2017-01-05
64,Sword Bean KG,25.0,30.0,28.0,2017-01-05
65,Tamarind KG,90.0,100.0,95.0,2017-01-05
66,Tofu KG,80.0,90.0,85.0,2017-01-05
67,Tomato Big(Nepali) KG,25.0,30.0,28.0,2017-01-05
68,Tomato Small(Local) KG,20.0,30.0,25.0,2017-01-05
69,Turnip A KG,30.0,40.0,35.0,2017-01-05
70,Water Melon(Green) KG,60.0,70.0,65.0,2017-01-05
71,Yam KG,25.0,30.0,28.0,2017-01-05
0,Apple(Jholey) KG,90.0,100.0,95.0,2017-01-06
1,Arum KG,35.0,40.0,38.0,2017-01-06
2,Bakula KG,50.0,55.0,52.0,2017-01-06
3,Bamboo Shoot KG,120.0,130.0,125.0,2017-01-06
4,Banana Per Dozen,70.0,80.0,75.0,2017-01-06
5,Barela KG,30.0,35.0,33.0,2017-01-06
6,Bitter Gourd KG,75.0,80.0,78.0,2017-01-06
7,Bottle Gourd KG,30.0,35.0,33.0,2017-01-06
8,Brd Leaf Mustard KG,20.0,25.0,22.0,2017-01-06
9,Brinjal Long KG,30.0,35.0,33.0,2017-01-06
10,Brinjal Round KG,30.0,35.0,33.0,2017-01-06
11,Brocauli KG,25.0,30.0,28.0,2017-01-06
12,Cabbage(Local) KG,18.0,20.0,19.0,2017-01-06
13,Capsicum KG,35.0,40.0,38.0,2017-01-06
14,Carrot(Local) KG,55.0,60.0,58.0,2017-01-06
15,Cauli Local KG,18.0,20.0,19.0,2017-01-06
16,Cauli Terai KG,10.0,15.0,12.0,2017-01-06
17,Celery KG,90.0,100.0,95.0,2017-01-06
18,Chilli Dry KG,270.0,280.0,275.0,2017-01-06
19,Chilli Green KG,45.0,50.0,48.0,2017-01-06
20,Christophine KG,15.0,20.0,18.0,2017-01-06
21,Clive Dry KG,200.0,210.0,205.0,2017-01-06
22,Clive Green KG,70.0,80.0,75.0,2017-01-06
23,Coriander Green KG,70.0,80.0,75.0,2017-01-06
24,Cow pea(Long) KG,50.0,55.0,52.0,2017-01-06
25,Cress Leaf KG,30.0,35.0,33.0,2017-01-06
26,Cucumber(Local) KG,20.0,25.0,22.0,2017-01-06
27,Fennel Leaf KG,60.0,70.0,65.0,2017-01-06
28,Fenugreek Leaf KG,40.0,45.0,43.0,2017-01-06
29,Fish Fresh KG,225.0,230.0,228.0,2017-01-06
30,French Bean(Local) KG,35.0,40.0,38.0,2017-01-06
31,Garlic Dry Chinese KG,340.0,350.0,345.0,2017-01-06
32,Garlic Dry Nepali KG,310.0,320.0,315.0,2017-01-06
33,Garlic Green KG,120.0,130.0,125.0,2017-01-06
34,Ginger KG,40.0,50.0,46.0,2017-01-06
35,Green Peas KG,25.0,30.0,28.0,2017-01-06
36,Knolkhol KG,30.0,35.0,33.0,2017-01-06
37,Lemon KG,40.0,50.0,45.0,2017-01-06
38,Lettuce KG,40.0,45.0,43.0,2017-01-06
39,Lime KG,400.0,450.0,425.0,2017-01-06
40,Mint KG,90.0,100.0,95.0,2017-01-06
41,Mombin KG,35.0,40.0,38.0,2017-01-06
42,Mushroom(Kanya) KG,120.0,130.0,125.0,2017-01-06
43,Mustard Leaf KG,40.0,45.0,43.0,2017-01-06
44,Okara KG,120.0,130.0,125.0,2017-01-06
45,Onion Dry (Indian) KG,24.0,26.0,25.0,2017-01-06
46,Onion Green KG,30.0,35.0,33.0,2017-01-06
47,Orange(Nepali) KG,80.0,90.0,85.0,2017-01-06
48,Papaya(Nepali) KG,60.0,70.0,65.0,2017-01-06
49,Parseley KG,90.0,100.0,95.0,2017-01-06
50,Pear(Local) KG,100.0,110.0,105.0,2017-01-06
51,Pineapple 1 Pc,100.0,110.0,105.0,2017-01-06
52,Pointed Gourd(Local) KG,45.0,50.0,48.0,2017-01-06
53,Pomegranate KG,200.0,210.0,205.0,2017-01-06
54,Potato Red KG,25.0,28.0,26.0,2017-01-06
55,Potato White KG,18.0,20.0,19.0,2017-01-06
56,Pumpkin KG,20.0,22.0,21.0,2017-01-06
57,Raddish Red KG,18.0,20.0,19.0,2017-01-06
58,Raddish White(Local) KG,18.0,20.0,19.0,2017-01-06
59,Spinach Leaf KG,20.0,25.0,22.0,2017-01-06
60,Squash(Long) KG,10.0,20.0,14.0,2017-01-06
61,Sugarbeet KG,90.0,100.0,95.0,2017-01-06
62,Sweet Orange KG,100.0,110.0,105.0,2017-01-06
63,Sweet Potato KG,55.0,60.0,58.0,2017-01-06
64,Sword Bean KG,25.0,30.0,28.0,2017-01-06
65,Tamarind KG,90.0,100.0,95.0,2017-01-06
66,Tofu KG,80.0,90.0,85.0,2017-01-06
67,Tomato Big(Nepali) KG,25.0,30.0,28.0,2017-01-06
68,Tomato Small(Local) KG,20.0,30.0,25.0,2017-01-06
69,Turnip A KG,30.0,35.0,33.0,2017-01-06
70,Water Melon(Green) KG,60.0,70.0,65.0,2017-01-06
71,Yam KG,25.0,30.0,28.0,2017-01-06
0,Apple(Jholey) KG,90.0,100.0,95.0,2017-01-07
1,Arum KG,35.0,40.0,38.0,2017-01-07
2,Bakula KG,50.0,55.0,53.0,2017-01-07
3,Bamboo Shoot KG,120.0,130.0,125.0,2017-01-07
4,Banana Per Dozen,70.0,80.0,75.0,2017-01-07
5,Barela KG,24.0,26.0,25.0,2017-01-07
6,Bitter Gourd KG,75.0,80.0,78.0,2017-01-07
7,Bottle Gourd KG,30.0,35.0,33.0,2017-01-07
8,Brd Leaf Mustard KG,20.0,25.0,23.0,2017-01-07
9,Brinjal Long KG,30.0,35.0,33.0,2017-01-07
10,Brinjal Round KG,30.0,35.0,33.0,2017-01-07
11,Brocauli KG,25.0,30.0,28.0,2017-01-07
12,Cabbage(Local) KG,18.0,20.0,19.0,2017-01-07
13,Capsicum KG,35.0,40.0,38.0,2017-01-07
14,Carrot(Local) KG,55.0,60.0,58.0,2017-01-07
15,Cauli Local KG,18.0,22.0,20.0,2017-01-07
16,Cauli Terai KG,10.0,15.0,13.0,2017-01-07
17,Celery KG,90.0,100.0,95.0,2017-01-07
18,Chilli Dry KG,270.0,280.0,275.0,2017-01-07
19,Chilli Green KG,35.0,40.0,38.0,2017-01-07
20,Christophine KG,15.0,20.0,18.0,2017-01-07
21,Clive Dry KG,200.0,210.0,205.0,2017-01-07
22,Clive Green KG,70.0,80.0,75.0,2017-01-07
