,Product,Minimum,Maximum,Average,Date
0,Apple(Jholey) KG,90.0,100.0,95.0,2017-01-01
1,Arum KG,30.0,35.0,33.0,2017-01-01
2,Bakula KG,50.0,55.0,52.0,2017-01-01
3,Bamboo Shoot KG,120.0,130.0,125.0,2017-01-01
4,Banana Per Dozen,70.0,80.0,75.0,2017-01-01
5,Barela KG,30.0,35.0,33.0,2017-01-01
6,Bitter Gourd KG,70.0,75.0,72.0,2017-01-01
7,Bottle Gourd KG,30.0,35.0,33.0,2017-01-01
8,Brd Leaf Mustard KG,20.0,25.0,22.0,2017-01-01
9,Brinjal Long KG,30.0,35.0,33.0,2017-01-01
10,Brinjal Round KG,30.0,35.0,33.0,2017-01-01
11,Brocauli KG,30.0,35.0,33.0,2017-01-01
12,Cabbage(Local) KG,18.0,20.0,19.0,2017-01-01
13,Capsicum KG,40.0,45.0,42.0,2017-01-01
14,Carrot(Local) KG,60.0,65.0,62.0,2017-01-01
15,Cauli Local KG,18.0,20.0,19.0,2017-01-01
16,Cauli Terai KG,10.0,15.0,12.0,2017-01-01
17,Celery KG,90.0,100.0,95.0,2017-01-01
18,Chilli Dry KG,270.0,280.0,275.0,2017-01-01
19,Chilli Green KG,45.0,50.0,48.0,2017-01-01
20,Christophine KG,15.0,20.0,18.0,2017-01-01
21,Clive Dry KG,200.0,210.0,205.0,2017-01-01
22,Clive Green KG,70.0,80.0,75.0,2017-01-01
23,Coriander Green KG,50.0,60.0,55.0,2017-01-01
24,Cow pea(Long) KG,40.0,45.0,42.0,2017-01-01
25,Cress Leaf KG,30.0,40.0,35.0,2017-01-01
26,Cucumber(Local) KG,20.0,25.0,22.0,2017-01-01
27,Fennel Leaf KG,60.0,65.0,63.0,2017-01-01
28,Fenugreek Leaf KG,40.0,45.0,43.0,2017-01-01
29,Fish Fresh KG,225.0,230.0,228.0,2017-01-01
30,French Bean(Local) KG,35.0,40.0,38.0,2017-01-01
31,Garlic Dry Chinese KG,340.0,350.0,345.0,2017-01-01
32,Garlic Dry Nepali KG,310.0,320.0,315.0,2017-01-01
33,Garlic Green KG,100.0,110.0,105.0,2017-01-01
34,Ginger KG,40.0,50.0,45.0,2017-01-01
35,Green Peas KG,25.0,30.0,28.0,2017-01-01
36,Knolkhol KG,30.0,35.0,33.0,2017-01-01
37,Lemon KG,40.0,50.0,45.0,2017-01-01
38,Lettuce KG,30.0,40.0,35.0,2017-01-01
39,Lime KG,400.0,450.0,425.0,2017-01-01
40,Mint KG,90.0,100.0,95.0,2017-01-01
41,Mombin KG,35.0,40.0,38.0,2017-01-01
42,Mushroom(Kanya) KG,120.0,130.0,125.0,2017-01-01
43,Mustard Leaf KG,40.0,45.0,43.0,2017-01-01
44,Okara KG,90.0,100.0,95.0,2017-01-01
45,Onion Dry (Indian) KG,25.0,27.0,26.0,2017-01-01
46,Onion Green KG,30.0,35.0,33.0,2017-01-01
47,Orange(Nepali) KG,80.0,90.0,85.0,2017-01-01
48,Papaya(Nepali) KG,60.0,70.0,65.0,2017-01-01
49,Parseley KG,90.0,100.0,95.0,2017-01-01
50,Pear(Local) KG,100.0,110.0,105.0,2017-01-01
51,Pineapple 1 Pc,100.0,110.0,105.0,2017-01-01
52,Pointed Gourd(Local) KG,50.0,55.0,52.0,2017-01-01
53,Pomegranate KG,200.0,210.0,205.0,2017-01-01
54,Potato Red KG,28.0,30.0,29.0,2017-01-01
55,Potato White KG,20.0,22.0,21.0,2017-01-01
56,Pumpkin KG,20.0,25.0,22.0,2017-01-01
57,Raddish Red KG,18.0,20.0,19.0,2017-01-01
58,Raddish White(Local) KG,18.0,20.0,19.0,2017-01-01
59,Spinach Leaf KG,20.0,25.0,22.0,2017-01-01
60,Squash(Long) KG,15.0,20.0,18.0,2017-01-01
61,Sugarbeet KG,90.0,100.0,95.0,2017-01-01
62,Sweet Orange KG,100.0,110.0,105.0,2017-01-01
63,Sword Bean KG,25.0,30.0,28.0,2017-01-01
64,Tamarind KG,90.0,100.0,95.0,2017-01-01
65,Tofu KG,80.0,90.0,85.0,2017-01-01
66,Tomato Big(Nepali) KG,25.0,30.0,28.0,2017-01-01
67,Tomato Small(Local) KG,20.0,30.0,25.0,2017-01-01
68,Turnip A KG,30.0,40.0,35.0,2017-01-01
69,Water Melon(Green) KG,60.0,70.0,65.0,2017-01-01
70,Yam KG,35.0,40.0,38.0,2017-01-01
0,Apple(Jholey) KG,90.0,100.0,95.0,2017-01-02
1,Arum KG,30.0,35.0,33.0,2017-01-02
2,Bakula KG,50.0,60.0,55.0,2017-01-02
3,Bamboo Shoot KG,120.0,130.0,125.0,2017-01-02
4,Banana Per Dozen,70.0,80.0,75.0,2017-01-02
5,Barela KG,35.0,40.0,38.0,2017-01-02
6,Bitter Gourd KG,75.0,80.0,78.0,2017-01-02
7,Bottle Gourd KG,30.0,35.0,33.0,2017-01-02
8,Brd Leaf Mustard KG,20.0,25.0,22.0,2017-01-02
9,Brinjal Long KG,30.0,35.0,33.0,2017-01-02
10,Brinjal Round KG,30.0,35.0,33.0,2017-01-02
11,Brocauli KG,20.0,25.0,22.0,2017-01-02
12,Cabbage(Local) KG,18.0,20.0,19.0,2017-01-02
13,Capsicum KG,35.0,40.0,38.0,2017-01-02
14,Carrot(Local) KG,55.0,60.0,58.0,2017-01-02
15,Cauli Local KG,15.0,20.0,18.0,2017-01-02
16,Cauli Terai KG,10.0,15.0,12.0,2017-01-02
17,Celery KG,90.0,100.0,95.0,2017-01-02
18,Chilli Dry KG,270.0,280.0,275.0,2017-01-02
19,Chilli Green KG,45.0,50.0,48.0,2017-01-02
20,Christophine KG,20.0,25.0,22.0,2017-01-02
21,Clive Dry KG,200.0,210.0,205.0,2017-01-02
22,Clive Green KG,70.0,80.0,75.0,2017-01-02
23,Coriander Green KG,80.0,90.0,85.0,2017-01-02
24,Cow pea(Long) KG,50.0,55.0,52.0,2017-01-02
25,Cress Leaf KG,40.0,45.0,43.0,2017-01-02
26,Cucumber(Local) KG,20.0,25.0,22.0,2017-01-02
27,Fennel Leaf KG,60.0,70.0,65.0,2017-01-02
28,Fenugreek Leaf KG,40.0,45.0,43.0,2017-01-02
29,Fish Fresh KG,230.0,235.0,233.0,2017-01-02
30,French Bean(Local) KG,35.0,40.0,38.0,2017-01-02
31,Garlic Dry Chinese KG,340.0,350.0,345.0,2017-01-02
32,Garlic Dry Nepali KG,310.0,320.0,315.0,2017-01-02
33,Garlic Green KG,100.0,110.0,105.0,2017-01-02
34,Ginger KG,40.0,50.0,45.0,2017-01-02
35,Green Peas KG,25.0,30.0,28.0,2017-01-02
36,Knolkhol KG,30.0,35.0,33.0,2017-01-02
37,Lemon KG,40.0,50.0,45.0,2017-01-02
38,Lettuce KG,30.0,35.0,33.0,2017-01-02
39,Lime KG,400.0,450.0,425.0,2017-01-02
40,Mint KG,90.0,100.0,95.0,2017-01-02
41,Mombin KG,35.0,40.0,38.0,2017-01-02
42,Mushroom(Kanya) KG,120.0,130.0,125.0,2017-01-02
43,Mustard Leaf KG,40.0,45.0,43.0,2017-01-02
44,Okara KG,120.0,130.0,125.0,2017-01-02
45,Onion Dry (Indian) KG,25.0,27.0,26.0,2017-01-02
46,Onion Green KG,30.0,35.0,33.0,2017-01-02
47,Orange(Nepali) KG,80.0,90.0,85.0,2017-01-02
48,Papaya(Nepali) KG,60.0,70.0,65.0,2017-01-02
49,Parseley KG,90.0,100.0,95.0,2017-01-02
50,Pear(Local) KG,100.0,110.0,105.0,2017-01-02
51,Pineapple 1 Pc,100.0,110.0,105.0,2017-01-02
52,Pointed Gourd(Local) KG,45.0,50.0,48.0,2017-01-02
53,Pomegranate KG,200.0,210.0,205.0,2017-01-02
54,Potato Red KG,28.0,30.0,29.0,2017-01-02
55,Potato White KG,20.0,22.0,21.0,2017-01-02
56,Pumpkin KG,20.0,22.0,21.0,2017-01-02
57,Raddish Red KG,18.0,20.0,19.0,2017-01-02
58,Raddish White(Local) KG,18.0,20.0,19.0,2017-01-02
59,Spinach Leaf KG,20.0,25.0,22.0,2017-01-02
60,Squash(Long) KG,10.0,15.0,12.0,2017-01-02
61,Sugarbeet KG,90.0,100.0,95.0,2017-01-02
62,Sweet Orange KG,100.0,110.0,105.0,2017-01-02
63,Sword Bean KG,25.0,30.0,28.0,2017-01-02
64,Tamarind KG,90.0,100.0,95.0,2017-01-02
65,Tofu KG,80.0,90.0,85.0,2017-01-02
66,Tomato Big(Nepali) KG,25.0,30.0,28.0,2017-01-02
67,Tomato Small(Local) KG,20.0,30.0,25.0,2017-01-02
68,Turnip A KG,30.0,35.0,33.0,2017-01-02
69,Water Melon(Green) KG,60.0,70.0,65.0,2017-01-02
70,Yam KG,25.0,30.0,28.0,2017-01-02
0,Apple(Jholey) KG,90.0,100.0,95.0,2017-01-03
1,Arum KG,35.0,40.0,38.0,2017-01-03
2,Bakula KG,50.0,60.0,55.0,2017-01-03
3,Bamboo Shoot KG,120.0,130.0,125.0,2017-01-03
4,Banana Per Dozen,70.0,80.0,75.0,2017-01-03
5,Barela KG,35.0,40.0,38.0,2017-01-03
6,Bitter Gourd KG,75.0,80.0,78.0,2017-01-03
7,Bottle Gourd KG,30.0,35.0,33.0,2017-01-03
8,Brd Leaf Mustard KG,20.0,30.0,25.0,2017-01-03
9,Brinjal Long KG,30.0,35.0,33.0,2017-01-03
10,Brinjal Round KG,30.0,35.0,33.0,2017-01-03
11,Brocauli KG,20.0,25.0,22.0,2017-01-03
12,Cabbage(Local) KG,18.0,20.0,19.0,2017-01-03
13,Capsicum KG,45.0,50.0,48.0,2017-01-03
