,Product,Minimum,Maximum,Average,Date
0,Amla KG,60,70,65,2023-01-01
1,Apple(Fuji) KG,240,280,260,2023-01-01
2,Arum KG,40,50,45,2023-01-01
3,Asparagus KG,0,0,0,2023-01-01
4,Avocado KG,300,350,325,2023-01-01
5,Bakula KG,60,70,65,2023-01-01
6,Bamboo Shoot KG,90,100,95,2023-01-01
7,Banana Per Dozen,120,130,125,2023-01-01
8,Barela KG,50,60,55,2023-01-01
9,Bitter Gourd KG,80,90,85,2023-01-01
10,Bottle Gourd KG,50,60,55,2023-01-01
11,Brd Leaf Mustard KG,30,40,35,2023-01-01
12,Brinjal Long KG,40,50,45,2023-01-01
13,Brinjal Round KG,50,60,55,2023-01-01
14,Brocauli KG,50,60,55,2023-01-01
15,Cabbage KG,20,25,22.33,2023-01-01
16,Cabbage(Local) KG,20,25,22.33,2023-01-01
17,Capsicum KG,50,60,55,2023-01-01
18,Carrot(Local) KG,50,60,55,2023-01-01
19,Cauli Local KG,30,40,35,2023-01-01
20,Cauli Local(Jyapu) KG,40,50,45,2023-01-01
21,Cauli Terai KG,20,30,25,2023-01-01
22,Celery KG,250,300,275,2023-01-01
23,Chilli Dry KG,400,450,426.67,2023-01-01
24,Chilli Green KG,50,60,55,2023-01-01
25,Chilli Green(Akbare) KG,300,350,325,2023-01-01
26,Chilli Green(Bullet) KG,50,60,55,2023-01-01
27,Chilli Green(Machhe) KG,90,100,95,2023-01-01
28,Christophine KG,50,60,55,2023-01-01
29,Clive Dry KG,280,300,290,2023-01-01
30,Clive Green KG,110,120,115,2023-01-01
31,Coriander Green KG,90,100,95,2023-01-01
32,Cow pea(Long) KG,110,120,115,2023-01-01
33,Cowpea(Short) KG,40,50,45,2023-01-01
34,Cress Leaf KG,70,80,75,2023-01-01
35,Cucumber(Hybrid) KG,40,50,45,2023-01-01
36,Cucumber(Local) KG,40,50,45,2023-01-01
37,Drumstick KG,180,200,190,2023-01-01
38,Fennel Leaf KG,70,80,75,2023-01-01
39,Fenugreek Leaf KG,70,80,75,2023-01-01
40,Fish Fresh(Bachuwa) KG,240,250,245,2023-01-01
41,Fish Fresh(Chhadi) KG,250,260,255,2023-01-01
42,Fish Fresh(Mungari) KG,260,280,270,2023-01-01
43,Fish Fresh(Rahu) KG,320,340,330,2023-01-01
44,French Bean(Hybrid) KG,70,80,75,2023-01-01
45,French Bean(Local) KG,70,80,75,2023-01-01
46,French Bean(Rajma) KG,110,120,115,2023-01-01
47,Garlic Dry Chinese KG,170,180,175,2023-01-01
48,Garlic Dry Nepali KG,110,120,115,2023-01-01
49,Garlic Green KG,130,140,135,2023-01-01
50,Ginger KG,60,70,65,2023-01-01
51,Grapes(Black) KG,300,320,310,2023-01-01
52,Grapes(Green) KG,200,220,210,2023-01-01
53,Green Peas KG,40,50,45,2023-01-01
54,Guava KG,120,150,135,2023-01-01
55,Gundruk KG,280,300,290,2023-01-01
56,Jack Fruit KG,110,120,115,2023-01-01
57,Kinnow KG,150,160,155,2023-01-01
58,Kiwi KG,150,200,175,2023-01-01
59,Knolkhol KG,50,60,55,2023-01-01
60,Lemon KG,50,50,50,2023-01-01
61,Lettuce KG,30,40,35,2023-01-01
62,Lime KG,90,110,100,2023-01-01
63,Mandarin KG,220,250,235,2023-01-01
64,Mint KG,250,300,275,2023-01-01
65,Mombin KG,90,100,95,2023-01-01
66,Mushroom(Button) KG,300,350,326.67,2023-01-01
67,Mushroom(Kanya) KG,180,200,190,2023-01-01
68,Mustard Leaf KG,40,50,45,2023-01-01
69,Okara KG,80,90,85,2023-01-01
70,Onion Dry (Indian) KG,50,52,51,2023-01-01
71,Onion Green KG,60,70,65,2023-01-01
72,Orange(Nepali) KG,90,100,95,2023-01-01
73,Papaya(Indian) KG,90,100,95,2023-01-01
74,Papaya(Nepali) KG,80,90,85,2023-01-01
75,Parseley KG,300,350,325,2023-01-01
