,Product,Minimum,Maximum,Average,Date
76,Pear(Chinese) KG,220,250,235,2023-01-01
77,Pineapple 1 Pc,140,150,145,2023-01-01
78,Pointed Gourd(Terai) KG,120,130,125,2023-01-01
79,Pomegranate KG,250,300,275,2023-01-01
80,Potato Red KG,48,50,49,2023-01-01
81,Potato Red(Indian) KG,33,35,34,2023-01-01
82,Potato White KG,26,28,27,2023-01-01
83,Pumpkin KG,40,50,45,2023-01-01
84,Raddish Red KG,30,40,35,2023-01-01
85,Raddish White(Hybrid) KG,25,30,27.67,2023-01-01
86,Raddish White(Local) KG,20,25,22.33,2023-01-01
87,Red Cabbbage KG,80,90,85,2023-01-01
88,Sarifa KG,250,300,275,2023-01-01
89,Smooth Gourd KG,90,100,95,2023-01-01
90,Spinach Leaf KG,70,80,75,2023-01-01
91,Squash(Long) KG,20,30,25,2023-01-01
92,Squash(Round) KG,20,30,25,2023-01-01
93,Strawberry KG,350,400,375,2023-01-01
94,Sugarbeet KG,70,80,75,2023-01-01
95,Sweet Orange KG,150,160,155,2023-01-01
96,Sweet Potato KG,70,80,75,2023-01-01
97,Sword Bean KG,30,40,35,2023-01-01
98,Tamarind KG,140,150,145,2023-01-01
99,Tofu KG,120,130,125,2023-01-01
100,Tomato Big(Indian) KG,40,50,45,2023-01-01
101,Tomato Big(Nepali) KG,40,50,45,2023-01-01
102,Tomato Small(Indian) KG,40,50,45,2023-01-01
103,Tomato Small(Local) KG,20,30,25,2023-01-01
104,Tomato Small(Terai) KG,35,40,37.67,2023-01-01
105,Tomato Small(Tunnel) KG,30,40,35,2023-01-01
106,Tree Tomato Kg,70,80,75,2023-01-01
107,Turnip KG,40,50,45,2023-01-01
108,Turnip A KG,70,80,75,2023-01-01
109,Water Melon(Green) KG,40,50,45,2023-01-01
110,Yam KG,60,70,65,2023-01-01
0,Amla KG,60,70,66.67,2023-01-02
1,Apple(Fuji) KG,240,280,260,2023-01-02
2,Arum KG,40,50,45,2023-01-02
3,Asparagus KG,0,0,0,2023-01-02
4,Avocado KG,250,300,275,2023-01-02
5,Bakula KG,50,60,56.67,2023-01-02
6,Bamboo Shoot KG,90,100,96.67,2023-01-02
7,Banana Per Dozen,120,130,126.67,2023-01-02
8,Barela KG,60,70,66.67,2023-01-02
9,Bitter Gourd KG,90,100,95,2023-01-02
10,Bottle Gourd KG,40,50,46.67,2023-01-02
11,Brd Leaf Mustard KG,35,40,38.33,2023-01-02
12,Brinjal Long KG,35,40,37.5,2023-01-02
13,Brinjal Round KG,50,60,56.67,2023-01-02
14,Brocauli KG,50,60,56.67,2023-01-02
15,Cabbage KG,20,25,22.5,2023-01-02
16,Cabbage(Local) KG,20,25,22.5,2023-01-02
17,Cabbage(Terai) KG,18,22,20,2023-01-02
18,Capsicum KG,50,60,56.67,2023-01-02
19,Carrot(Local) KG,50,60,55,2023-01-02
20,Cauli Local KG,30,40,35,2023-01-02
21,Cauli Local(Jyapu) KG,40,50,46.67,2023-01-02
22,Cauli Terai KG,20,25,22.5,2023-01-02
23,Celery KG,250,300,275,2023-01-02
24,Chilli Dry KG,400,450,425,2023-01-02
25,Chilli Green KG,60,70,65,2023-01-02
26,Chilli Green(Akbare) KG,450,500,475,2023-01-02
27,Chilli Green(Bullet) KG,60,70,65,2023-01-02
28,Chilli Green(Machhe) KG,70,80,76.67,2023-01-02
29,Christophine KG,40,50,45,2023-01-02
30,Clive Dry KG,250,280,265,2023-01-02
31,Clive Green KG,120,150,135,2023-01-02
32,Coriander Green KG,80,100,90,2023-01-02
33,Cow pea(Long) KG,100,120,110,2023-01-02
34,Cowpea(Short) KG,50,60,56.67,2023-01-02
35,Cress Leaf KG,70,80,76.67,2023-01-02
36,Cucumber(Hybrid) KG,30,40,36.67,2023-01-02
37,Cucumber(Local) KG,50,60,56,2023-01-02
38,Drumstick KG,200,220,210,2023-01-02
39,Fennel Leaf KG,70,80,76.67,2023-01-02
40,Fenugreek Leaf KG,70,80,76.67,2023-01-02
41,Fish Fresh(Bachuwa) KG,230,250,240,2023-01-02
42,Fish Fresh(Chhadi) KG,240,250,246.67,2023-01-02
43,Fish Fresh(Mungari) KG,260,270,265,2023-01-02
44,Fish Fresh(Rahu) KG,320,330,325,2023-01-02
45,French Bean(Hybrid) KG,70,80,76.67,2023-01-02
46,French Bean(Local) KG,70,80,75,2023-01-02
47,Garlic Dry Chinese KG,170,180,175,2023-01-02
48,Garlic Dry Nepali KG,100,110,106.67,2023-01-02
49,Garlic Green KG,120,150,136.67,2023-01-02
50,Ginger KG,60,70,65,2023-01-02
51,Grapes(Black) KG,300,320,310,2023-01-02
52,Grapes(Green) KG,200,220,210,2023-01-02
53,Green Peas KG,40,50,45,2023-01-02
54,Guava KG,120,150,140,2023-01-02
55,Gundruk KG,250,300,275,2023-01-02
56,Jack Fruit KG,110,120,116.67,2023-01-02
57,Kinnow KG,120,130,126.67,2023-01-02
58,Kiwi KG,150,250,200,2023-01-02
59,Knolkhol KG,60,70,63.33,2023-01-02
60,Lemon KG,40,50,46.67,2023-01-02
61,Lettuce KG,30,40,36.67,2023-01-02
62,Lime KG,90,110,100,2023-01-02
63,Mandarin KG,220,250,240,2023-01-02
64,Mint KG,200,250,225,2023-01-02
65,Mombin KG,90,100,95,2023-01-02
66,Mushroom(Button) KG,300,350,325,2023-01-02
67,Mushroom(Kanya) KG,150,200,174,2023-01-02
68,Mustard Leaf KG,40,50,46.67,2023-01-02
69,Okara KG,90,100,96.67,2023-01-02
70,Onion Dry (Indian) KG,45,47,46,2023-01-02
71,Onion Green KG,70,80,76.67,2023-01-02
72,Orange(Nepali) KG,90,110,100,2023-01-02
73,Papaya(Indian) KG,90,100,96.67,2023-01-02
74,Papaya(Nepali) KG,80,90,86.67,2023-01-02
75,Parseley KG,300,350,325,2023-01-02
76,Pear(Chinese) KG,220,250,240,2023-01-02
77,Pineapple 1 Pc,150,180,165,2023-01-02
78,Pointed Gourd(Local) KG,110,120,115,2023-01-02
79,Pointed Gourd(Terai) KG,150,160,156.67,2023-01-02
80,Pomegranate KG,300,320,310,2023-01-02
81,Potato Red KG,48,50,49,2023-01-02
82,Potato Red(Indian) KG,30,32,31,2023-01-02
83,Potato White KG,25,27,26,2023-01-02
84,Pumpkin KG,40,50,45,2023-01-02
85,Raddish Red KG,30,40,36.67,2023-01-02
86,Raddish White(Hybrid) KG,30,35,33.33,2023-01-02
87,Raddish White(Local) KG,20,25,22.5,2023-01-02
88,Red Cabbbage KG,70,80,76.67,2023-01-02
89,Sarifa KG,250,280,265,2023-01-02
90,Smooth Gourd KG,90,100,96.67,2023-01-02
91,Snake Gourd KG,70,80,76.67,2023-01-02
92,Spinach Leaf KG,70,80,76.67,2023-01-02
93,Squash(Long) KG,20,25,22.5,2023-01-02
94,Squash(Round) KG,20,25,23.33,2023-01-02
95,Strawberry KG,350,450,400,2023-01-02
96,Sugarbeet KG,70,80,76.67,2023-01-02
97,Sweet Orange KG,150,160,156.67,2023-01-02
98,Sweet Potato KG,50,60,56.67,2023-01-02
99,Sword Bean KG,30,35,32.5,2023-01-02
100,Tamarind KG,140,150,146.67,2023-01-02
101,Tofu KG,120,130,126.67,2023-01-02
102,Tomato Big(Indian) KG,30,40,36.67,2023-01-02
103,Tomato Big(Nepali) KG,40,50,46.67,2023-01-02
104,Tomato Small(Indian) KG,35,40,37.5,2023-01-02
105,Tomato Small(Local) KG,16,25,21,2023-01-02
106,Tomato Small(Terai) KG,25,30,27.5,2023-01-02
107,Tomato Small(Tunnel) KG,20,30,25,2023-01-02
108,Tree Tomato Kg,70,80,76.67,2023-01-02
109,Turnip KG,50,60,56.67,2023-01-02
110,Turnip A KG,70,80,76.67,2023-01-02
111,Water Melon(Green) KG,40,50,46.67,2023-01-02
112,Yam KG,50,60,56.67,2023-01-02
0,Amla KG,60,70,66.67,2023-01-03
1,Apple(Fuji) KG,240,280,260,2023-01-03
2,Arum KG,40,50,45,2023-01-03
3,Asparagus KG,0,0,0,2023-01-03
4,Avocado KG,250,300,275,2023-01-03
5,Bakula KG,50,60,56.67,2023-01-03
6,Bamboo Shoot KG,90,100,96.67,2023-01-03
7,Banana Per Dozen,120,130,126.67,2023-01-03
8,Barela KG,60,70,65,2023-01-03
9,Bitter Gourd KG,80,90,85,2023-01-03
10,Bottle Gourd KG,50,60,55,2023-01-03
11,Brd Leaf Mustard KG,40,50,46.67,2023-01-03
12,Brinjal Long KG,40,50,45,2023-01-03
13,Brinjal Round KG,50,60,56.67,2023-01-03
14,Brocauli KG,50,60,56.67,2023-01-03
15,Cabbage KG,20,25,22.5,2023-01-03
16,Cabbage(Local) KG,20,25,22.5,2023-01-03
17,Cabbage(Terai) KG,20,25,22.5,2023-01-03
18,Capsicum KG,50,60,55,2023-01-03
19,Carrot(Local) KG,50,60,55,2023-01-03
20,Cauli Local KG,35,45,39,2023-01-03
21,Cauli Local(Jyapu) KG,45,50,47.5,2023-01-03
22,Cauli Terai KG,25,30,27.5,2023-01-03
23,Celery KG,200,250,225,2023-01-03
24,Chilli Dry KG,420,450,435,2023-01-03
25,Chilli Green KG,60,70,65,2023-01-03
26,Chilli Green(Akbare) KG,500,600,550,2023-01-03
27,Chilli Green(Bullet) KG,60,70,65,2023-01-03
28,Chilli Green(Machhe) KG,70,80,76.67,2023-01-03
29,Christophine KG,40,45,41.67,2023-01-03
30,Clive Dry KG,250,300,275,2023-01-03
31,Clive Green KG,80,100,90,2023-01-03
32,Coriander Green KG,80,100,90,2023-01-03
33,Cow pea(Long) KG,100,110,106.67,2023-01-03
34,Cowpea(Short) KG,50,60,56.67,2023-01-03
35,Cress Leaf KG,70,80,75,2023-01-03
36,Cucumber(Hybrid) KG,30,40,35,2023-01-03
37,Cucumber(Local) KG,50,60,55,2023-01-03
38,Fennel Leaf KG,70,80,76.67,2023-01-03
39,Fenugreek Leaf KG,70,80,76.67,2023-01-03
40,Fish Fresh(Bachuwa) KG,240,250,246.67,2023-01-03
41,Fish Fresh(Chhadi) KG,240,260,250,2023-01-03
42,Fish Fresh(Mungari) KG,260,280,270,2023-01-03
43,Fish Fresh(Rahu) KG,320,350,335,2023-01-03
44,French Bean(Hybrid) KG,50,60,56.67,2023-01-03
45,French Bean(Local) KG,50,60,55,2023-01-03
46,Garlic Dry Chinese KG,170,180,176,2023-01-03
47,Garlic Dry Nepali KG,100,110,106,2023-01-03
48,Garlic Green KG,110,120,116.67,2023-01-03
49,Ginger KG,60,70,66.67,2023-01-03
50,Grapes(Black) KG,320,350,335,2023-01-03
51,Grapes(Green) KG,200,220,210,2023-01-03
52,Green Peas KG,50,60,55,2023-01-03
53,Guava KG,100,120,113.33,2023-01-03
54,Gundruk KG,280,300,290,2023-01-03
55,Jack Fruit KG,110,120,115,2023-01-03
56,Kinnow KG,110,120,116.67,2023-01-03
57,Kiwi KG,150,200,175,2023-01-03
58,Knolkhol KG,50,60,56.67,2023-01-03
59,Lemon KG,40,50,46.67,2023-01-03
60,Lettuce KG,30,40,36.67,2023-01-03
61,Lime KG,90,110,100,2023-01-03
62,Mandarin KG,220,250,235,2023-01-03
63,Mint KG,200,250,225,2023-01-03
64,Mombin KG,80,90,86.67,2023-01-03
65,Mushroom(Button) KG,250,300,275,2023-01-03
66,Mushroom(Kanya) KG,120,150,134,2023-01-03
67,Mustard Leaf KG,40,50,46.67,2023-01-03
68,Okara KG,90,100,95,2023-01-03
69,Onion Dry (Indian) KG,44,46,45.2,2023-01-03
70,Onion Green KG,60,70,66.67,2023-01-03
71,Orange(Nepali) KG,100,120,110,2023-01-03
72,Papaya(Indian) KG,80,90,86.67,2023-01-03
73,Papaya(Nepali) KG,70,80,76.67,2023-01-03
74,Parseley KG,250,300,275,2023-01-03
75,Pear(Chinese) KG,220,250,235,2023-01-03
76,Pineapple 1 Pc,150,180,165,2023-01-03
77,Pointed Gourd(Terai) KG,140,150,145,2023-01-03
78,Pomegranate KG,300,350,325,2023-01-03
79,Potato Red KG,45,50,47.5,2023-01-03
80,Potato Red(Indian) KG,30,32,31,2023-01-03
81,Potato White KG,25,28,26.33,2023-01-03
82,Pumpkin KG,35,45,40,2023-01-03
83,Raddish Red KG,30,40,35,2023-01-03
84,Raddish White(Hybrid) KG,25,30,27.5,2023-01-03
85,Raddish White(Local) KG,15,20,17.5,2023-01-03
86,Red Cabbbage KG,70,80,76.67,2023-01-03
87,Sarifa KG,250,300,275,2023-01-03
88,Spinach Leaf KG,70,80,76.67,2023-01-03
89,Squash(Long) KG,25,30,27.5,2023-01-03
90,Squash(Round) KG,25,30,27.5,2023-01-03
91,Strawberry KG,400,500,450,2023-01-03
92,Sugarbeet KG,60,70,66.67,2023-01-03
93,Sweet Orange KG,150,180,165,2023-01-03
94,Sweet Potato KG,50,60,56.67,2023-01-03
95,Sword Bean KG,40,50,44,2023-01-03
96,Tamarind KG,140,150,146.67,2023-01-03
97,Tofu KG,120,130,126.67,2023-01-03
98,Tomato Big(Indian) KG,40,50,45,2023-01-03
99,Tomato Big(Nepali) KG,40,50,45,2023-01-03
100,Tomato Small(Indian) KG,35,40,37.5,2023-01-03
101,Tomato Small(Local) KG,15,25,20,2023-01-03
102,Tomato Small(Terai) KG,35,40,38,2023-01-03
103,Tomato Small(Tunnel) KG,20,30,25,2023-01-03
104,Tree Tomato Kg,70,80,76.67,2023-01-03
105,Turnip KG,50,60,56.67,2023-01-03
106,Turnip A KG,60,70,65,2023-01-03
107,Water Melon(Green) KG,40,50,46.67,2023-01-03
108,Yam KG,60,70,66.67,2023-01-03
0,Amla KG,60,70,66.67,2023-01-04
1,Apple(Fuji) KG,240,280,260,2023-01-04
2,Arum KG,40,50,46.67,2023-01-04
3,Asparagus KG,0,0,0,2023-01-04
4,Avocado KG,250,300,275,2023-01-04
5,Bakula KG,50,60,56.67,2023-01-04
6,Bamboo Shoot KG,90,100,96.67,2023-01-04
7,Banana Per Dozen,120,130,126.67,2023-01-04
8,Barela KG,50,60,55,2023-01-04
9,Bitter Gourd KG,90,100,96.67,2023-01-04
10,Bottle Gourd KG,50,60,56.67,2023-01-04
11,Brd Leaf Mustard KG,50,60,56.67,2023-01-04
12,Brinjal Long KG,35,40,38.33,2023-01-04
13,Brinjal Round KG,50,60,56.67,2023-01-04
14,Brocauli KG,50,60,55,2023-01-04
15,Cabbage KG,20,25,22.5,2023-01-04
16,Cabbage(Local) KG,20,25,22.5,2023-01-04
17,Cabbage(Terai) KG,20,25,23.33,2023-01-04
18,Capsicum KG,50,60,56,2023-01-04
19,Carrot(Local) KG,44,46,45,2023-01-04
20,Cauli Local KG,30,40,35,2023-01-04
21,Cauli Local(Jyapu) KG,40,50,45,2023-01-04
22,Cauli Terai KG,20,30,25,2023-01-04
23,Celery KG,250,300,283.33,2023-01-04
24,Chilli Dry KG,420,450,435,2023-01-04
25,Chilli Green KG,60,70,65,2023-01-04
26,Chilli Green(Akbare) KG,500,550,525,2023-01-04
27,Chilli Green(Bullet) KG,60,70,65,2023-01-04
28,Chilli Green(Machhe) KG,70,80,76.67,2023-01-04
29,Christophine KG,50,60,55,2023-01-04
30,Clive Dry KG,250,300,275,2023-01-04
31,Clive Green KG,80,100,90,2023-01-04
32,Coriander Green KG,90,100,96.67,2023-01-04
33,Cow pea(Long) KG,100,120,110,2023-01-04
34,Cowpea(Short) KG,50,60,56.67,2023-01-04
35,Cress Leaf KG,70,80,76.67,2023-01-04
36,Cucumber(Hybrid) KG,40,45,43.33,2023-01-04
37,Cucumber(Local) KG,50,60,55,2023-01-04
38,Drumstick KG,200,220,210,2023-01-04
39,Fennel Leaf KG,70,80,76.67,2023-01-04
40,Fenugreek Leaf KG,70,80,76.67,2023-01-04
41,Fish Fresh(Bachuwa) KG,240,250,246.67,2023-01-04
42,Fish Fresh(Chhadi) KG,240,250,246.67,2023-01-04
43,Fish Fresh(Mungari) KG,260,280,270,2023-01-04
44,Fish Fresh(Rahu) KG,320,350,333.33,2023-01-04
45,French Bean(Hybrid) KG,70,80,76.67,2023-01-04
46,French Bean(Local) KG,70,80,76.67,2023-01-04
47,French Bean(Rajma) KG,110,120,116.67,2023-01-04
48,Garlic Dry Chinese KG,170,180,176,2023-01-04
49,Garlic Dry Nepali KG,100,110,106.67,2023-01-04
50,Garlic Green KG,110,120,116.67,2023-01-04
51,Ginger KG,60,70,65,2023-01-04
52,Grapes(Black) KG,300,320,310,2023-01-04
53,Grapes(Green) KG,200,220,210,2023-01-04
54,Green Peas KG,70,80,75,2023-01-04
55,Guava KG,100,120,113.33,2023-01-04
56,Gundruk KG,250,300,275,2023-01-04
57,Jack Fruit KG,110,120,116.67,2023-01-04
58,Kinnow KG,120,140,130,2023-01-04
59,Kiwi KG,150,200,175,2023-01-04
60,Knolkhol KG,60,70,66.67,2023-01-04
61,Lemon KG,40,50,46.67,2023-01-04
62,Lettuce KG,30,40,36.67,2023-01-04
63,Lime KG,90,110,100,2023-01-04
64,Mandarin KG,220,250,235,2023-01-04
65,Mint KG,200,250,225,2023-01-04
66,Mombin KG,90,100,96.67,2023-01-04
67,Mushroom(Button) KG,280,320,300,2023-01-04
68,Mushroom(Kanya) KG,120,150,136,2023-01-04
69,Mustard Leaf KG,40,50,46.67,2023-01-04
70,Okara KG,100,110,106.67,2023-01-04
71,Onion Green KG,70,80,76.67,2023-01-04
72,Orange(Nepali) KG,100,120,110,2023-01-04
73,Papaya(Indian) KG,90,100,96.67,2023-01-04
74,Papaya(Nepali) KG,80,90,86.67,2023-01-04
75,Parseley KG,300,350,333.33,2023-01-04
76,Pear(Chinese) KG,250,300,275,2023-01-04
77,Pineapple 1 Pc,150,180,165,2023-01-04
78,Pointed Gourd(Terai) KG,120,130,125,2023-01-04
79,Pomegranate KG,300,350,325,2023-01-04
80,Potato Red KG,45,48,46.5,2023-01-04
81,Potato Red(Indian) KG,30,32,31,2023-01-04
82,Potato White KG,25,28,26.33,2023-01-04
83,Pumpkin KG,35,45,40,2023-01-04
84,Raddish Red KG,40,50,46.67,2023-01-04
85,Raddish White(Hybrid) KG,25,30,28.33,2023-01-04
86,Raddish White(Local) KG,15,20,17.5,2023-01-04
87,Red Cabbbage KG,70,80,76.67,2023-01-04
88,Sarifa KG,250,280,265,2023-01-04
89,Smooth Gourd KG,90,100,96.67,2023-01-04
90,Spinach Leaf KG,70,80,76.67,2023-01-04
91,Squash(Long) KG,25,30,27.5,2023-01-04
92,Squash(Round) KG,25,30,27.5,2023-01-04
93,Strawberry KG,400,500,450,2023-01-04
94,Sugarbeet KG,60,70,66.67,2023-01-04
95,Sweet Orange KG,150,180,165,2023-01-04
96,Sweet Potato KG,50,60,56.67,2023-01-04
97,Sword Bean KG,35,40,37.5,2023-01-04
98,Tamarind KG,140,150,146.67,2023-01-04
99,Tofu KG,120,130,126.67,2023-01-04
100,Tomato Big(Indian) KG,40,50,46.67,2023-01-04
101,Tomato Big(Nepali) KG,50,60,55,2023-01-04
102,Tomato Small(Indian) KG,35,45,39,2023-01-04
103,Tomato Small(Local) KG,20,30,25,2023-01-04
104,Tomato Small(Terai) KG,35,45,40,2023-01-04
105,Tomato Small(Tunnel) KG,20,30,25,2023-01-04
106,Tree Tomato Kg,80,90,86.67,2023-01-04
107,Turnip KG,50,60,56.67,2023-01-04
108,Turnip A KG,50,60,56.67,2023-01-04
109,Water Melon(Green) KG,40,50,45,2023-01-04
110,Yam KG,70,80,75,2023-01-04
0,Amla KG,60,70,66.67,2023-01-05
1,Apple(Fuji) KG,240,280,260,2023-01-05
2,Arum KG,40,50,46.67,2023-01-05
3,Asparagus KG,0,0,0,2023-01-05
4,Avocado KG,250,300,283.33,2023-01-05
5,Bakula KG,50,60,56.67,2023-01-05
6,Bamboo Shoot KG,90,100,95,2023-01-05
7,Banana Per Dozen,120,130,126.67,2023-01-05
8,Barela KG,50,60,56.67,2023-01-05
9,Bitter Gourd KG,100,110,106.67,2023-01-05
10,Bottle Gourd KG,50,60,56.67,2023-01-05
11,Brd Leaf Mustard KG,60,70,66.67,2023-01-05
12,Brinjal Long KG,30,40,35,2023-01-05
13,Brinjal Round KG,50,60,55,2023-01-05
14,Brocauli KG,50,60,55,2023-01-05
15,Cabbage KG,20,25,23.33,2023-01-05
16,Cabbage(Terai) KG,20,25,23.33,2023-01-05
17,Capsicum KG,50,60,56.67,2023-01-05
18,Carrot(Local) KG,50,60,55,2023-01-05
19,Cauli Local KG,30,40,35,2023-01-05
20,Cauli Local(Jyapu) KG,45,55,50,2023-01-05
21,Cauli Terai KG,25,30,28.33,2023-01-05
22,Celery KG,200,250,225,2023-01-05
23,Chilli Dry KG,420,450,440,2023-01-05
24,Chilli Green KG,90,100,95,2023-01-05
25,Chilli Green(Akbare) KG,500,600,550,2023-01-05
26,Chilli Green(Bullet) KG,100,120,110,2023-01-05
27,Chilli Green(Machhe) KG,70,80,76.67,2023-01-05
28,Christophine KG,40,50,45,2023-01-05
29,Clive Dry KG,250,300,275,2023-01-05
30,Clive Green KG,80,100,90,2023-01-05
31,Coriander Green KG,80,100,90,2023-01-05
32,Cow pea(Long) KG,110,120,116.67,2023-01-05
33,Cowpea(Short) KG,50,60,55,2023-01-05
34,Cress Leaf KG,70,80,76.67,2023-01-05
35,Cucumber(Hybrid) KG,30,40,36.67,2023-01-05
36,Cucumber(Local) KG,50,60,55,2023-01-05
37,Drumstick KG,200,220,210,2023-01-05
38,Fennel Leaf KG,70,80,76.67,2023-01-05
39,Fenugreek Leaf KG,70,80,76.67,2023-01-05
40,Fish Fresh(Bachuwa) KG,240,250,246.67,2023-01-05
41,Fish Fresh(Chhadi) KG,230,250,240,2023-01-05
42,Fish Fresh(Mungari) KG,260,280,270,2023-01-05
43,Fish Fresh(Rahu) KG,320,350,335,2023-01-05
44,French Bean(Hybrid) KG,70,80,76.67,2023-01-05
45,French Bean(Local) KG,50,60,56.67,2023-01-05
46,French Bean(Rajma) KG,100,120,110,2023-01-05
47,Garlic Dry Chinese KG,170,180,176.67,2023-01-05
48,Garlic Dry Nepali KG,90,100,96.67,2023-01-05
49,Garlic Green KG,110,120,116.67,2023-01-05
50,Ginger KG,60,70,65,2023-01-05
51,Grapes(Black) KG,300,320,310,2023-01-05
52,Grapes(Green) KG,200,220,213.33,2023-01-05
53,Green Peas KG,50,60,55,2023-01-05
54,Guava KG,100,120,113.33,2023-01-05
55,Gundruk KG,250,300,275,2023-01-05
56,Jack Fruit KG,110,120,116.67,2023-01-05
57,Kinnow KG,120,150,135,2023-01-05
58,Kiwi KG,150,200,175,2023-01-05
59,Knolkhol KG,50,60,56.67,2023-01-05
60,Lemon KG,40,50,46.67,2023-01-05
61,Lettuce KG,30,40,36.67,2023-01-05
62,Lime KG,100,120,108,2023-01-05
63,Mandarin KG,220,250,240,2023-01-05
64,Mint KG,250,300,275,2023-01-05
65,Mombin KG,90,100,95,2023-01-05
66,Mushroom(Button) KG,250,300,276,2023-01-05
67,Mushroom(Kanya) KG,150,180,164,2023-01-05
68,Mustard Leaf KG,40,50,45,2023-01-05
69,Okara KG,100,110,106.67,2023-01-05
70,Onion Dry (Indian) KG,42,45,43.75,2023-01-05
71,Onion Green KG,40,50,46.67,2023-01-05
72,Orange(Nepali) KG,100,120,110,2023-01-05
73,Papaya(Indian) KG,80,90,86.67,2023-01-05
74,Papaya(Nepali) KG,70,80,76.67,2023-01-05
75,Parseley KG,300,350,325,2023-01-05
76,Pear(Chinese) KG,220,250,240,2023-01-05
77,Pineapple 1 Pc,150,180,165,2023-01-05
78,Pointed Gourd(Terai) KG,120,140,130,2023-01-05
79,Pomegranate KG,300,350,325,2023-01-05
80,Potato Red KG,40,44,41.6,2023-01-05
81,Potato Red(Indian) KG,28,30,29.2,2023-01-05
82,Potato White KG,25,28,26.33,2023-01-05
83,Pumpkin KG,35,45,39,2023-01-05
84,Raddish Red KG,40,50,46.67,2023-01-05
85,Raddish White(Hybrid) KG,25,30,28.33,2023-01-05
