,Product,Minimum,Maximum,Average,Date
0,Apple(Fuji) KG,280.0,300.0,290.0,2021-01-01
1,Apple(Jholey) KG,220.0,230.0,225.0,2021-01-01
2,Arum KG,45.0,50.0,48.33,2021-01-01
3,Bakula KG,100.0,110.0,106.67,2021-01-01
4,Bamboo Shoot KG,70.0,80.0,75.0,2021-01-01
5,Banana Per Dozen,90.0,100.0,95.0,2021-01-01
6,Barela KG,60.0,70.0,66.67,2021-01-01
7,Bitter Gourd KG,90.0,100.0,95.0,2021-01-01
8,Bottle Gourd KG,40.0,50.0,45.0,2021-01-01
9,Brd Leaf Mustard KG,40.0,50.0,43.33,2021-01-01
10,Brinjal Long KG,50.0,60.0,55.0,2021-01-01
11,Brinjal Round KG,50.0,60.0,56.67,2021-01-01
12,Brocauli KG,50.0,60.0,56.67,2021-01-01
13,Cabbage KG,35.0,40.0,37.5,2021-01-01
14,Cabbage(Local) KG,30.0,40.0,35.0,2021-01-01
15,Cabbage(Terai) KG,25.0,35.0,30.0,2021-01-01
16,Capsicum KG,90.0,100.0,95.0,2021-01-01
17,Carrot(Local) KG,110.0,120.0,115.0,2021-01-01
18,Carrot(Terai) KG,70.0,80.0,75.0,2021-01-01
19,Cauli Local KG,35.0,45.0,40.0,2021-01-01
20,Cauli Local(Jyapu) KG,45.0,50.0,48.33,2021-01-01
21,Cauli Terai KG,30.0,40.0,35.0,2021-01-01
22,Celery KG,220.0,250.0,235.0,2021-01-01
23,Chilli Dry KG,320.0,330.0,325.0,2021-01-01
24,Chilli Green KG,60.0,70.0,66.67,2021-01-01
25,Chilli Green(Akbare) KG,450.0,500.0,475.0,2021-01-01
26,Chilli Green(Bullet) KG,80.0,90.0,85.0,2021-01-01
27,Chilli Green(Machhe) KG,70.0,80.0,76.67,2021-01-01
28,Christophine KG,25.0,30.0,28.33,2021-01-01
29,Coriander Green KG,100.0,120.0,110.0,2021-01-01
30,Cow pea(Long) KG,90.0,100.0,95.0,2021-01-01
31,Cowpea(Short) KG,60.0,70.0,66.67,2021-01-01
32,Cress Leaf KG,150.0,160.0,155.0,2021-01-01
33,Cucumber(Hybrid) KG,40.0,50.0,46.67,2021-01-01
34,Cucumber(Local) KG,80.0,90.0,85.0,2021-01-01
35,Fennel Leaf KG,90.0,100.0,95.0,2021-01-01
36,Fenugreek Leaf KG,90.0,100.0,95.0,2021-01-01
37,Fish Fresh(Bachuwa) KG,200.0,210.0,205.0,2021-01-01
38,Fish Fresh(Chhadi) KG,200.0,210.0,205.0,2021-01-01
39,Fish Fresh(Mungari) KG,270.0,280.0,275.0,2021-01-01
40,Fish Fresh(Rahu) KG,270.0,280.0,275.0,2021-01-01
41,French Bean(Hybrid) KG,80.0,90.0,86.67,2021-01-01
42,French Bean(Local) KG,60.0,70.0,66.67,2021-01-01
43,Garlic Dry Chinese KG,185.0,195.0,190.0,2021-01-01
44,Garlic Green KG,140.0,150.0,145.0,2021-01-01
45,Ginger KG,60.0,70.0,65.0,2021-01-01
46,Grapes(Black) KG,350.0,360.0,355.0,2021-01-01
47,Grapes(Green) KG,250.0,260.0,255.0,2021-01-01
48,Green Peas KG,45.0,55.0,50.0,2021-01-01
49,Guava KG,90.0,100.0,96.67,2021-01-01
50,Gundruk KG,220.0,250.0,235.0,2021-01-01
51,Kinnow KG,70.0,80.0,75.0,2021-01-01
52,Kiwi KG,220.0,250.0,235.0,2021-01-01
53,Knolkhol KG,45.0,50.0,47.5,2021-01-01
54,Lemon KG,40.0,50.0,46.67,2021-01-01
55,Lettuce KG,60.0,70.0,66.67,2021-01-01
56,Lime KG,120.0,140.0,130.0,2021-01-01
57,Mint KG,220.0,250.0,235.0,2021-01-01
58,Mombin KG,35.0,40.0,38.0,2021-01-01
59,Mushroom(Button) KG,260.0,280.0,272.0,2021-01-01
60,Mushroom(Kanya) KG,220.0,250.0,235.0,2021-01-01
61,Mustard Leaf KG,50.0,60.0,55.0,2021-01-01
62,Okara KG,90.0,100.0,95.0,2021-01-01
63,Onion Dry (Chinese) KG,45.0,50.0,47.5,2021-01-01
64,Onion Dry (Indian) KG,60.0,65.0,62.5,2021-01-01
65,Onion Green KG,50.0,60.0,56.67,2021-01-01
66,Orange(Indian) KG,70.0,80.0,75.0,2021-01-01
67,Orange(Nepali) KG,90.0,100.0,94.0,2021-01-01
68,Papaya(Indian) KG,90.0,100.0,96.67,2021-01-01
69,Papaya(Nepali) KG,70.0,80.0,76.67,2021-01-01
70,Parseley KG,400.0,450.0,425.0,2021-01-01
71,Pear(Chinese) KG,260.0,270.0,265.0,2021-01-01
72,Pineapple 1 Pc,150.0,160.0,155.0,2021-01-01
73,Pomegranate KG,250.0,300.0,275.0,2021-01-01
74,Potato Red KG,40.0,45.0,42.5,2021-01-01
75,Potato Red(Indian) KG,30.0,35.0,32.5,2021-01-01
76,Pumpkin KG,25.0,30.0,28.33,2021-01-01
77,Raddish Red KG,40.0,50.0,45.0,2021-01-01
78,Raddish White(Hybrid) KG,15.0,20.0,18.33,2021-01-01
79,Raddish White(Local) KG,10.0,15.0,12.5,2021-01-01
80,Red Cabbbage KG,300.0,350.0,325.0,2021-01-01
81,Spinach Leaf KG,90.0,100.0,96.67,2021-01-01
82,Sponge Gourd KG,90.0,100.0,96.67,2021-01-01
83,Squash(Long) KG,25.0,30.0,27.5,2021-01-01
84,Squash(Round) KG,45.0,50.0,48.33,2021-01-01
85,Strawberry KG,550.0,600.0,575.0,2021-01-01
86,Sugarbeet KG,80.0,90.0,86.67,2021-01-01
87,Sweet Orange KG,150.0,160.0,155.0,2021-01-01
88,Sweet Potato KG,70.0,80.0,76.67,2021-01-01
89,Sword Bean KG,50.0,60.0,55.0,2021-01-01
90,Tamarind KG,140.0,150.0,145.0,2021-01-01
91,Tofu KG,70.0,80.0,75.0,2021-01-01
92,Tomato Big(Indian) KG,50.0,60.0,53.33,2021-01-01
93,Tomato Big(Nepali) KG,50.0,60.0,56.67,2021-01-01
94,Tomato Small(Indian) KG,40.0,45.0,42.5,2021-01-01
95,Tomato Small(Local) KG,40.0,45.0,42.5,2021-01-01
96,Tomato Small(Terai) KG,40.0,45.0,42.5,2021-01-01
97,Tomato Small(Tunnel) KG,40.0,45.0,41.75,2021-01-01
98,Turnip KG,70.0,80.0,75.0,2021-01-01
