,Product,Minimum,Maximum,Average,Date
0,Apple(Jholey) KG,100.0,110.0,105.0,2014-01-01
1,Arum KG,35.0,40.0,38.0,2014-01-01
2,Bakula KG,60.0,65.0,63.0,2014-01-01
3,Bamboo Shoot KG,130.0,140.0,137.0,2014-01-01
4,Banana Per Dozen,40.0,50.0,45.0,2014-01-01
5,Barela KG,40.0,45.0,43.0,2014-01-01
6,Bitter Gourd KG,80.0,90.0,85.0,2014-01-01
7,Bottle Gourd KG,30.0,35.0,33.0,2014-01-01
8,Brd Leaf Mustard KG,18.0,20.0,19.0,2014-01-01
9,Brinjal Long KG,20.0,22.0,21.0,2014-01-01
10,Brinjal Round KG,25.0,30.0,28.0,2014-01-01
11,Brocauli KG,40.0,45.0,43.0,2014-01-01
12,Cabbage(Local) KG,20.0,25.0,23.0,2014-01-01
13,Capsicum KG,45.0,50.0,48.0,2014-01-01
14,Carrot(Local) KG,25.0,30.0,28.0,2014-01-01
15,Cauli Local KG,22.0,26.0,24.0,2014-01-01
16,Cauli Terai KG,16.0,20.0,18.0,2014-01-01
17,Celery KG,120.0,130.0,125.0,2014-01-01
18,Chilli Dry KG,230.0,240.0,235.0,2014-01-01
19,Chilli Green KG,40.0,45.0,43.0,2014-01-01
20,Christophine KG,25.0,30.0,28.0,2014-01-01
21,Clive Dry KG,160.0,170.0,165.0,2014-01-01
22,Clive Green KG,120.0,130.0,125.0,2014-01-01
23,Coriander Green KG,60.0,70.0,65.0,2014-01-01
24,Cow pea(Long) KG,40.0,45.0,42.0,2014-01-01
25,Cress Leaf KG,35.0,40.0,38.0,2014-01-01
26,Cucumber(Local) KG,35.0,40.0,38.0,2014-01-01
27,Fennel Leaf KG,40.0,45.0,43.0,2014-01-01
28,Fenugreek Leaf KG,45.0,50.0,48.0,2014-01-01
29,Fish Fresh KG,220.0,230.0,227.0,2014-01-01
30,French Bean(Local) KG,55.0,60.0,57.0,2014-01-01
31,Garlic Dry Chinese KG,100.0,105.0,103.0,2014-01-01
32,Garlic Dry Nepali KG,85.0,90.0,88.0,2014-01-01
33,Garlic Green KG,55.0,60.0,58.0,2014-01-01
34,Ginger KG,90.0,100.0,95.0,2014-01-01
35,Grapes(Green) KG,180.0,200.0,190.0,2014-01-01
36,Green Peas KG,30.0,35.0,33.0,2014-01-01
37,Gundruk KG,60.0,70.0,65.0,2014-01-01
38,Jack Fruit KG,105.0,120.0,112.0,2014-01-01
39,Knolkhol KG,35.0,40.0,38.0,2014-01-01
40,Lemon KG,30.0,35.0,33.0,2014-01-01
41,Lettuce KG,45.0,50.0,48.0,2014-01-01
42,Lime KG,300.0,400.0,367.0,2014-01-01
43,Mandarin KG,45.0,50.0,48.0,2014-01-01
44,Mint KG,140.0,150.0,145.0,2014-01-01
45,Mombin KG,30.0,35.0,33.0,2014-01-01
46,Mushroom(Kanya) KG,150.0,160.0,155.0,2014-01-01
47,Mustard Leaf KG,35.0,40.0,38.0,2014-01-01
48,Okara KG,110.0,120.0,117.0,2014-01-01
49,Onion Dry (Indian) KG,35.0,36.0,36.0,2014-01-01
50,Onion Green KG,55.0,60.0,58.0,2014-01-01
51,Orange(Nepali) KG,45.0,50.0,48.0,2014-01-01
52,Papaya(Nepali) KG,50.0,60.0,55.0,2014-01-01
53,Parseley KG,170.0,180.0,175.0,2014-01-01
54,Pineapple 1 Pc,60.0,70.0,65.0,2014-01-01
55,Pointed Gourd(Local) KG,180.0,190.0,185.0,2014-01-01
56,Pomegranate KG,200.0,210.0,205.0,2014-01-01
57,Potato Red KG,25.0,28.0,26.0,2014-01-01
58,Potato White KG,22.0,25.0,24.0,2014-01-01
59,Pumpkin KG,16.0,18.0,17.0,2014-01-01
60,Raddish Red KG,25.0,30.0,28.0,2014-01-01
61,Raddish White(Local) KG,10.0,15.0,12.0,2014-01-01
62,Red Cabbbage KG,150.0,160.0,155.0,2014-01-01
63,Spinach Leaf KG,35.0,40.0,38.0,2014-01-01
64,Squash(Long) KG,20.0,25.0,23.0,2014-01-01
65,Sugarbeet KG,90.0,100.0,95.0,2014-01-01
66,Sugarcane Per Piece,40.0,50.0,45.0,2014-01-01
67,Sweet Orange KG,90.0,100.0,95.0,2014-01-01
68,Sweet Potato KG,40.0,45.0,43.0,2014-01-01
69,Sword Bean KG,25.0,30.0,28.0,2014-01-01
70,Tamarind KG,70.0,80.0,77.0,2014-01-01
71,Tofu KG,60.0,70.0,65.0,2014-01-01
72,Tomato Big(Nepali) KG,40.0,45.0,43.0,2014-01-01
73,Tomato Small(Local) KG,30.0,35.0,33.0,2014-01-01
74,Turnip KG,40.0,45.0,43.0,2014-01-01
75,Turnip A KG,45.0,50.0,48.0,2014-01-01
76,Water Melon(Green) KG,50.0,60.0,55.0,2014-01-01
77,Yam KG,22.0,25.0,24.0,2014-01-01
0,Apple(Jholey) KG,100.0,110.0,105.0,2014-01-02
1,Arum KG,35.0,40.0,38.0,2014-01-02
2,Bakula KG,55.0,60.0,58.0,2014-01-02
3,Bamboo Shoot KG,140.0,150.0,145.0,2014-01-02
4,Banana Per Dozen,40.0,45.0,43.0,2014-01-02
5,Barela KG,45.0,50.0,48.0,2014-01-02
6,Bitter Gourd KG,70.0,80.0,75.0,2014-01-02
7,Bottle Gourd KG,30.0,35.0,33.0,2014-01-02
8,Brd Leaf Mustard KG,18.0,20.0,19.0,2014-01-02
9,Brinjal Long KG,22.0,24.0,23.0,2014-01-02
10,Brinjal Round KG,28.0,30.0,29.0,2014-01-02
11,Brocauli KG,40.0,45.0,43.0,2014-01-02
12,Cabbage(Local) KG,20.0,25.0,23.0,2014-01-02
13,Capsicum KG,40.0,50.0,45.0,2014-01-02
14,Carrot(Local) KG,24.0,28.0,26.0,2014-01-02
15,Cauli Local KG,22.0,26.0,24.0,2014-01-02
16,Cauli Terai KG,16.0,18.0,17.0,2014-01-02
17,Celery KG,120.0,130.0,125.0,2014-01-02
18,Chilli Dry KG,230.0,240.0,235.0,2014-01-02
19,Chilli Green KG,35.0,40.0,38.0,2014-01-02
20,Christophine KG,25.0,30.0,28.0,2014-01-02
21,Clive Dry KG,150.0,160.0,155.0,2014-01-02
22,Clive Green KG,110.0,120.0,115.0,2014-01-02
23,Coriander Green KG,60.0,70.0,65.0,2014-01-02
24,Cow pea(Long) KG,40.0,45.0,42.0,2014-01-02
25,Cress Leaf KG,40.0,45.0,43.0,2014-01-02
26,Cucumber(Local) KG,30.0,35.0,33.0,2014-01-02
27,Fennel Leaf KG,40.0,45.0,43.0,2014-01-02
28,Fenugreek Leaf KG,50.0,55.0,53.0,2014-01-02
29,Fish Fresh KG,220.0,230.0,225.0,2014-01-02
30,French Bean(Local) KG,55.0,60.0,57.0,2014-01-02
31,Garlic Dry Chinese KG,100.0,105.0,103.0,2014-01-02
32,Garlic Dry Nepali KG,85.0,90.0,88.0,2014-01-02
33,Garlic Green KG,55.0,60.0,58.0,2014-01-02
34,Ginger KG,100.0,110.0,107.0,2014-01-02
35,Grapes(Green) KG,180.0,200.0,190.0,2014-01-02
36,Green Peas KG,30.0,35.0,33.0,2014-01-02
37,Gundruk KG,190.0,200.0,195.0,2014-01-02
38,Jack Fruit KG,90.0,100.0,95.0,2014-01-02
39,Knolkhol KG,38.0,40.0,39.0,2014-01-02
40,Lemon KG,30.0,35.0,33.0,2014-01-02
41,Lettuce KG,40.0,45.0,43.0,2014-01-02
42,Lime KG,300.0,400.0,350.0,2014-01-02
43,Mandarin KG,40.0,45.0,43.0,2014-01-02
44,Mint KG,140.0,150.0,145.0,2014-01-02
45,Mombin KG,30.0,35.0,33.0,2014-01-02
46,Mushroom(Kanya) KG,170.0,180.0,175.0,2014-01-02
47,Mustard Leaf KG,40.0,45.0,43.0,2014-01-02
48,Okara KG,95.0,100.0,98.0,2014-01-02
49,Onion Dry (Indian) KG,34.0,35.0,35.0,2014-01-02
50,Onion Green KG,55.0,60.0,58.0,2014-01-02
51,Orange(Nepali) KG,45.0,50.0,48.0,2014-01-02
52,Papaya(Nepali) KG,50.0,60.0,55.0,2014-01-02
53,Parseley KG,170.0,180.0,175.0,2014-01-02
54,Pineapple 1 Pc,60.0,70.0,65.0,2014-01-02
55,Pointed Gourd(Local) KG,180.0,200.0,190.0,2014-01-02
56,Pomegranate KG,200.0,210.0,205.0,2014-01-02
57,Potato Red KG,25.0,27.0,26.0,2014-01-02
58,Potato White KG,22.0,25.0,24.0,2014-01-02
59,Pumpkin KG,16.0,18.0,17.0,2014-01-02
60,Raddish Red KG,25.0,30.0,28.0,2014-01-02
61,Raddish White(Local) KG,12.0,15.0,14.0,2014-01-02
62,Red Cabbbage KG,150.0,160.0,155.0,2014-01-02
63,Spinach Leaf KG,40.0,45.0,43.0,2014-01-02
64,Squash(Long) KG,18.0,22.0,20.0,2014-01-02
65,Sugarbeet KG,90.0,100.0,95.0,2014-01-02
66,Sugarcane Per Piece,40.0,50.0,45.0,2014-01-02
67,Sweet Orange KG,90.0,100.0,95.0,2014-01-02
68,Sweet Potato KG,40.0,45.0,43.0,2014-01-02
69,Sword Bean KG,24.0,26.0,25.0,2014-01-02
70,Tamarind KG,70.0,80.0,75.0,2014-01-02
71,Tofu KG,60.0,70.0,65.0,2014-01-02
72,Tomato Big(Nepali) KG,40.0,45.0,43.0,2014-01-02
73,Tomato Small(Local) KG,30.0,35.0,33.0,2014-01-02
74,Turnip KG,40.0,45.0,43.0,2014-01-02
75,Turnip A KG,38.0,40.0,39.0,2014-01-02
76,Water Melon(Green) KG,50.0,60.0,55.0,2014-01-02
77,Yam KG,28.0,30.0,29.0,2014-01-02
0,Apple(Jholey) KG,100.0,110.0,105.0,2014-01-03
1,Arum KG,35.0,40.0,38.0,2014-01-03
2,Bakula KG,55.0,60.0,58.0,2014-01-03
3,Bamboo Shoot KG,130.0,150.0,140.0,2014-01-03
4,Banana Per Dozen,40.0,50.0,45.0,2014-01-03
5,Barela KG,45.0,50.0,48.0,2014-01-03
6,Bitter Gourd KG,80.0,90.0,85.0,2014-01-03
7,Bottle Gourd KG,30.0,35.0,33.0,2014-01-03
8,Brd Leaf Mustard KG,18.0,20.0,19.0,2014-01-03
9,Brinjal Long KG,20.0,25.0,23.0,2014-01-03
10,Brinjal Round KG,25.0,30.0,28.0,2014-01-03
11,Brocauli KG,40.0,45.0,43.0,2014-01-03
12,Cabbage(Local) KG,20.0,25.0,23.0,2014-01-03
13,Capsicum KG,40.0,50.0,45.0,2014-01-03
14,Carrot(Local) KG,25.0,30.0,28.0,2014-01-03
15,Cauli Local KG,25.0,30.0,27.0,2014-01-03
16,Cauli Terai KG,18.0,20.0,19.0,2014-01-03
17,Celery KG,120.0,130.0,125.0,2014-01-03
18,Chilli Dry KG,230.0,240.0,235.0,2014-01-03
19,Chilli Green KG,40.0,45.0,43.0,2014-01-03
20,Christophine KG,25.0,30.0,28.0,2014-01-03
21,Clive Dry KG,150.0,160.0,155.0,2014-01-03
22,Clive Green KG,110.0,120.0,115.0,2014-01-03
23,Coriander Green KG,60.0,70.0,65.0,2014-01-03
24,Cow pea(Long) KG,38.0,42.0,40.0,2014-01-03
25,Cress Leaf KG,35.0,40.0,38.0,2014-01-03
26,Cucumber(Local) KG,65.0,70.0,68.0,2014-01-03
27,Fennel Leaf KG,40.0,45.0,43.0,2014-01-03
28,Fenugreek Leaf KG,55.0,60.0,58.0,2014-01-03
29,Fish Fresh KG,220.0,230.0,225.0,2014-01-03
30,French Bean(Local) KG,60.0,65.0,63.0,2014-01-03
31,Garlic Dry Chinese KG,100.0,105.0,102.0,2014-01-03
32,Garlic Dry Nepali KG,90.0,95.0,92.0,2014-01-03
33,Garlic Green KG,55.0,60.0,58.0,2014-01-03
34,Ginger KG,100.0,110.0,105.0,2014-01-03
35,Grapes(Green) KG,190.0,200.0,195.0,2014-01-03
36,Green Peas KG,40.0,45.0,43.0,2014-01-03
37,Gundruk KG,190.0,200.0,195.0,2014-01-03
38,Jack Fruit KG,70.0,80.0,75.0,2014-01-03
39,Knolkhol KG,38.0,40.0,39.0,2014-01-03
40,Lemon KG,30.0,35.0,33.0,2014-01-03
41,Lettuce KG,40.0,45.0,43.0,2014-01-03
42,Lime KG,300.0,400.0,367.0,2014-01-03
43,Mandarin KG,40.0,50.0,45.0,2014-01-03
44,Mint KG,120.0,130.0,125.0,2014-01-03
45,Mombin KG,30.0,35.0,33.0,2014-01-03
46,Mushroom(Kanya) KG,160.0,170.0,165.0,2014-01-03
47,Mustard Leaf KG,35.0,40.0,38.0,2014-01-03
48,Okara KG,100.0,110.0,105.0,2014-01-03
49,Onion Dry (Indian) KG,34.0,36.0,35.0,2014-01-03
50,Onion Green KG,60.0,75.0,65.0,2014-01-03
51,Orange(Nepali) KG,45.0,50.0,48.0,2014-01-03
52,Papaya(Nepali) KG,50.0,60.0,55.0,2014-01-03
53,Parseley KG,170.0,180.0,175.0,2014-01-03
54,Pineapple 1 Pc,60.0,70.0,65.0,2014-01-03
55,Pomegranate KG,200.0,220.0,210.0,2014-01-03
56,Potato Red KG,25.0,28.0,26.0,2014-01-03
57,Potato White KG,22.0,25.0,24.0,2014-01-03
58,Pumpkin KG,16.0,18.0,17.0,2014-01-03
59,Raddish Red KG,25.0,30.0,28.0,2014-01-03
60,Raddish White(Local) KG,12.0,15.0,14.0,2014-01-03
61,Red Cabbbage KG,150.0,160.0,155.0,2014-01-03
62,Spinach Leaf KG,35.0,40.0,38.0,2014-01-03
63,Squash(Long) KG,20.0,25.0,22.0,2014-01-03
64,Sugarbeet KG,90.0,100.0,95.0,2014-01-03
65,Sugarcane Per Piece,50.0,60.0,55.0,2014-01-03
66,Sweet Orange KG,90.0,100.0,95.0,2014-01-03
67,Sweet Potato KG,40.0,45.0,43.0,2014-01-03
68,Sword Bean KG,25.0,30.0,28.0,2014-01-03
69,Tamarind KG,70.0,80.0,77.0,2014-01-03
70,Tofu KG,60.0,70.0,65.0,2014-01-03
71,Tomato Big(Nepali) KG,40.0,45.0,43.0,2014-01-03
72,Tomato Small(Local) KG,30.0,35.0,33.0,2014-01-03
73,Turnip KG,40.0,45.0,43.0,2014-01-03
74,Turnip A KG,35.0,40.0,38.0,2014-01-03
75,Water Melon(Green) KG,50.0,60.0,55.0,2014-01-03
76,Yam KG,28.0,30.0,29.0,2014-01-03
0,Apple(Jholey) KG,90.0,100.0,95.0,2014-01-05
1,Arum KG,35.0,40.0,38.0,2014-01-05
2,Bakula KG,55.0,60.0,58.0,2014-01-05
3,Bamboo Shoot KG,130.0,140.0,135.0,2014-01-05
4,Banana Per Dozen,40.0,50.0,45.0,2014-01-05
5,Barela KG,45.0,50.0,48.0,2014-01-05
6,Bitter Gourd KG,70.0,80.0,77.0,2014-01-05
7,Bottle Gourd KG,30.0,35.0,33.0,2014-01-05
8,Brd Leaf Mustard KG,18.0,20.0,19.0,2014-01-05
9,Brinjal Long KG,25.0,30.0,27.0,2014-01-05
10,Brinjal Round KG,30.0,35.0,33.0,2014-01-05
11,Brocauli KG,40.0,45.0,43.0,2014-01-05
12,Cabbage(Local) KG,20.0,25.0,22.0,2014-01-05
13,Capsicum KG,45.0,50.0,48.0,2014-01-05
14,Carrot(Local) KG,25.0,30.0,28.0,2014-01-05
15,Cauli Local KG,24.0,28.0,26.0,2014-01-05
