,Product,Minimum,Maximum,Average,Date
15,Chilli Dry KG,170.0,180.0,175.0,2013-06-17
16,Chilli Green KG,30.0,40.0,35.0,2013-06-17
17,Christophine KG,35.0,40.0,38.0,2013-06-17
18,Clive Dry KG,70.0,80.0,75.0,2013-06-17
19,Clive Green KG,50.0,60.0,55.0,2013-06-17
20,Coriander Green KG,90.0,100.0,95.0,2013-06-17
21,Cow pea(Long) KG,20.0,25.0,22.0,2013-06-17
22,Cress Leaf KG,40.0,45.0,43.0,2013-06-17
23,Cucumber(Local) KG,25.0,30.0,28.0,2013-06-17
24,Drumstick KG,45.0,50.0,48.0,2013-06-17
25,Fennel Leaf KG,40.0,45.0,43.0,2013-06-17
26,Fenugreek Leaf KG,40.0,45.0,43.0,2013-06-17
27,Fish Fresh KG,210.0,220.0,215.0,2013-06-17
28,French Bean(Local) KG,30.0,35.0,33.0,2013-06-17
29,Garlic Dry Chinese KG,100.0,110.0,105.0,2013-06-17
30,Garlic Dry Nepali KG,50.0,60.0,55.0,2013-06-17
31,Garlic Green KG,45.0,50.0,48.0,2013-06-17
32,Ginger KG,140.0,150.0,145.0,2013-06-17
33,Grapes(Green) KG,250.0,260.0,255.0,2013-06-17
34,Green Peas KG,55.0,60.0,58.0,2013-06-17
35,Gundruk KG,190.0,200.0,195.0,2013-06-17
36,Jack Fruit KG,20.0,25.0,23.0,2013-06-17
37,Lettuce KG,45.0,50.0,48.0,2013-06-17
38,Lime KG,200.0,400.0,300.0,2013-06-17
39,Mango(Maldah) KG,50.0,60.0,55.0,2013-06-17
40,Mint KG,120.0,130.0,125.0,2013-06-17
41,Mushroom(Kanya) KG,180.0,200.0,190.0,2013-06-17
42,Mustard Leaf KG,35.0,40.0,38.0,2013-06-17
43,Neuro KG,50.0,60.0,55.0,2013-06-17
44,Okara KG,18.0,22.0,20.0,2013-06-17
45,Onion Dry (Indian) KG,29.0,30.0,30.0,2013-06-17
46,Onion Green KG,40.0,45.0,43.0,2013-06-17
47,Papaya(Nepali) KG,60.0,70.0,65.0,2013-06-17
48,Parseley KG,180.0,190.0,185.0,2013-06-17
49,Pineapple 1 Pc,60.0,70.0,65.0,2013-06-17
50,Pointed Gourd(Local) KG,30.0,35.0,33.0,2013-06-17
51,Pomegranate KG,200.0,220.0,210.0,2013-06-17
52,Potato Red KG,20.0,21.0,21.0,2013-06-17
53,Potato White KG,15.0,16.0,16.0,2013-06-17
54,Pumpkin KG,18.0,20.0,19.0,2013-06-17
55,Raddish Red KG,35.0,40.0,38.0,2013-06-17
56,Raddish White(Local) KG,30.0,35.0,33.0,2013-06-17
57,Red Cabbbage KG,60.0,70.0,65.0,2013-06-17
58,Smooth Gourd KG,15.0,20.0,18.0,2013-06-17
59,Snake Gourd KG,30.0,35.0,33.0,2013-06-17
60,Soyabean Green KG,55.0,60.0,58.0,2013-06-17
61,Spinach Leaf KG,45.0,50.0,48.0,2013-06-17
62,Sponge Gourd KG,45.0,50.0,48.0,2013-06-17
63,Squash(Long) KG,20.0,25.0,23.0,2013-06-17
64,Sugarbeet KG,35.0,40.0,38.0,2013-06-17
65,Sugarcane Per Piece,60.0,70.0,65.0,2013-06-17
66,Sweet Orange KG,90.0,100.0,95.0,2013-06-17
67,Tamarind KG,65.0,70.0,68.0,2013-06-17
68,Tofu KG,55.0,60.0,58.0,2013-06-17
69,Tomato Big(Nepali) KG,25.0,30.0,28.0,2013-06-17
70,Tomato Small(Local) KG,20.0,25.0,23.0,2013-06-17
71,Turnip A KG,45.0,50.0,48.0,2013-06-17
72,Water Melon(Green) KG,14.0,16.0,15.0,2013-06-17
0,Apple(Jholey) KG,110.0,120.0,115.0,2013-06-18
1,Asparagus KG,100.0,120.0,110.0,2013-06-18
2,Bamboo Shoot KG,50.0,60.0,55.0,2013-06-18
3,Banana Per Dozen,70.0,80.0,75.0,2013-06-18
4,Bitter Gourd KG,16.0,22.0,19.0,2013-06-18
5,Bottle Gourd KG,22.0,24.0,23.0,2013-06-18
6,Brd Leaf Mustard KG,40.0,45.0,43.0,2013-06-18
7,Brinjal Long KG,20.0,25.0,23.0,2013-06-18
8,Brinjal Round KG,25.0,30.0,28.0,2013-06-18
9,Brocauli KG,70.0,80.0,75.0,2013-06-18
10,Cabbage(Local) KG,8.0,10.0,9.0,2013-06-18
11,Capsicum KG,55.0,60.0,58.0,2013-06-18
12,Carrot(Local) KG,35.0,40.0,38.0,2013-06-18
13,Cauli Local KG,25.0,30.0,28.0,2013-06-18
14,Celery KG,120.0,130.0,125.0,2013-06-18
15,Chilli Dry KG,170.0,180.0,175.0,2013-06-18
16,Chilli Green KG,35.0,40.0,38.0,2013-06-18
17,Christophine KG,40.0,45.0,43.0,2013-06-18
18,Clive Dry KG,70.0,80.0,75.0,2013-06-18
19,Clive Green KG,50.0,60.0,55.0,2013-06-18
20,Coriander Green KG,90.0,100.0,95.0,2013-06-18
21,Cow pea(Long) KG,25.0,30.0,28.0,2013-06-18
22,Cress Leaf KG,45.0,50.0,48.0,2013-06-18
23,Cucumber(Local) KG,25.0,30.0,28.0,2013-06-18
24,Drumstick KG,35.0,40.0,38.0,2013-06-18
25,Fennel Leaf KG,40.0,45.0,43.0,2013-06-18
26,Fenugreek Leaf KG,40.0,45.0,43.0,2013-06-18
27,Fish Fresh KG,210.0,220.0,215.0,2013-06-18
28,French Bean(Local) KG,30.0,35.0,33.0,2013-06-18
29,Garlic Dry Chinese KG,100.0,110.0,105.0,2013-06-18
30,Garlic Dry Nepali KG,50.0,60.0,55.0,2013-06-18
31,Garlic Green KG,45.0,50.0,48.0,2013-06-18
32,Ginger KG,140.0,150.0,145.0,2013-06-18
33,Grapes(Green) KG,250.0,260.0,255.0,2013-06-18
34,Green Peas KG,55.0,60.0,58.0,2013-06-18
35,Gundruk KG,180.0,190.0,185.0,2013-06-18
36,Jack Fruit KG,20.0,25.0,23.0,2013-06-18
37,Lettuce KG,35.0,40.0,38.0,2013-06-18
38,Lime KG,200.0,400.0,300.0,2013-06-18
39,Mango(Maldah) KG,50.0,60.0,55.0,2013-06-18
40,Mint KG,120.0,130.0,125.0,2013-06-18
41,Mushroom(Kanya) KG,180.0,200.0,190.0,2013-06-18
42,Mustard Leaf KG,35.0,40.0,38.0,2013-06-18
43,Neuro KG,50.0,60.0,55.0,2013-06-18
44,Okara KG,20.0,25.0,23.0,2013-06-18
45,Onion Dry (Indian) KG,33.0,35.0,34.0,2013-06-18
46,Onion Green KG,35.0,40.0,38.0,2013-06-18
47,Papaya(Nepali) KG,55.0,60.0,58.0,2013-06-18
48,Parseley KG,180.0,200.0,190.0,2013-06-18
49,Pineapple 1 Pc,60.0,70.0,65.0,2013-06-18
50,Pointed Gourd(Local) KG,30.0,35.0,33.0,2013-06-18
51,Pomegranate KG,200.0,220.0,210.0,2013-06-18
52,Potato Red KG,19.0,20.0,20.0,2013-06-18
53,Potato White KG,15.0,16.0,16.0,2013-06-18
54,Pumpkin KG,18.0,20.0,19.0,2013-06-18
55,Raddish Red KG,35.0,40.0,38.0,2013-06-18
56,Raddish White(Local) KG,30.0,35.0,33.0,2013-06-18
57,Red Cabbbage KG,50.0,60.0,55.0,2013-06-18
58,Smooth Gourd KG,20.0,25.0,23.0,2013-06-18
59,Snake Gourd KG,30.0,35.0,33.0,2013-06-18
60,Soyabean Green KG,55.0,60.0,58.0,2013-06-18
61,Spinach Leaf KG,45.0,50.0,48.0,2013-06-18
62,Squash(Long) KG,18.0,20.0,19.0,2013-06-18
63,Sugarbeet KG,35.0,40.0,38.0,2013-06-18
64,Sugarcane Per Piece,50.0,60.0,55.0,2013-06-18
65,Sweet Orange KG,90.0,100.0,95.0,2013-06-18
66,Tamarind KG,65.0,70.0,68.0,2013-06-18
67,Tofu KG,55.0,60.0,58.0,2013-06-18
