,Product,Minimum,Maximum,Average,Date
0,Amla KG,120,130,125,2023-04-17
1,Apple(Fuji) KG,225,250,237.5,2023-04-17
2,Apple(Jholey) KG,180,200,190,2023-04-17
3,Arum KG,40,50,45,2023-04-17
4,Asparagus KG,250,300,275,2023-04-17
5,Avocado KG,400,500,450,2023-04-17
6,Bamboo Shoot KG,90,100,95,2023-04-17
7,Banana Per Dozen,160,170,165,2023-04-17
8,Barela KG,30,40,35,2023-04-17
9,Bauhania flower KG,230,250,240,2023-04-17
10,Bitter Gourd KG,70,80,75,2023-04-17
11,Bottle Gourd KG,25,30,27.67,2023-04-17
12,Brd Leaf Mustard KG,30,40,35,2023-04-17
13,Brinjal Long KG,30,35,32.67,2023-04-17
14,Brinjal Round KG,35,40,37.67,2023-04-17
15,Brocauli KG,60,70,65,2023-04-17
16,Cabbage(Local) KG,12,15,13.5,2023-04-17
17,Capsicum KG,80,90,85,2023-04-17
18,Carrot(Local) KG,60,70,65,2023-04-17
19,Carrot(Terai) KG,50,60,55,2023-04-17
20,Cauli Local KG,30,35,32.67,2023-04-17
21,Cauli Local(Jyapu) KG,40,50,45,2023-04-17
22,Celery KG,120,150,135,2023-04-17
23,Chilli Dry KG,450,480,465,2023-04-17
24,Chilli Green KG,60,70,65,2023-04-17
25,Chilli Green(Akbare) KG,250,300,275,2023-04-17
26,Chilli Green(Bullet) KG,60,70,65,2023-04-17
27,Chilli Green(Machhe) KG,70,80,75,2023-04-17
28,Christophine KG,30,40,35,2023-04-17
29,Clive Dry KG,180,200,190,2023-04-17
30,Clive Green KG,40,50,45,2023-04-17
31,Coriander Green KG,40,50,45,2023-04-17
32,Cow pea(Long) KG,60,70,65,2023-04-17
33,Cress Leaf KG,100,110,105,2023-04-17
34,Cucumber(Hybrid) KG,40,50,45,2023-04-17
35,Cucumber(Local) KG,80,90,85,2023-04-17
36,Drumstick KG,60,70,65,2023-04-17
37,Fennel Leaf KG,100,110,105,2023-04-17
38,Fenugreek Leaf KG,100,110,105,2023-04-17
39,Fish Fresh(Bachuwa) KG,260,280,270,2023-04-17
40,Fish Fresh(Chhadi) KG,230,260,245,2023-04-17
41,Fish Fresh(Mungari) KG,300,330,315,2023-04-17
42,Fish Fresh(Rahu) KG,330,360,345,2023-04-17
43,French Bean(Hybrid) KG,30,35,32.67,2023-04-17
44,French Bean(Local) KG,20,25,22.33,2023-04-17
45,French Bean(Rajma) KG,80,90,85,2023-04-17
46,Garlic Dry Chinese KG,170,180,175,2023-04-17
47,Garlic Dry Nepali KG,90,100,95,2023-04-17
48,Garlic Green KG,50,60,55,2023-04-17
49,Ginger KG,130,140,135,2023-04-17
50,Grapes(Black) KG,180,200,190,2023-04-17
51,Grapes(Green) KG,130,150,140,2023-04-17
52,Green Peas KG,70,80,75,2023-04-17
53,Gundruk KG,250,300,275,2023-04-17
54,Jack Fruit KG,60,70,65,2023-04-17
55,Kinnow KG,120,150,135,2023-04-17
56,Kiwi KG,400,500,450,2023-04-17
57,Knolkhol KG,40,50,45,2023-04-17
58,Lettuce KG,40,50,45,2023-04-17
59,Lime KG,230,250,240,2023-04-17
60,Mandarin KG,225,250,237.5,2023-04-17
61,Mango(Dushari) KG,225,250,237.5,2023-04-17
62,Mint KG,150,200,175,2023-04-17
63,Mushroom(Button) KG,300,350,326.67,2023-04-17
64,Mushroom(Kanya) KG,140,180,156.67,2023-04-17
65,Mustard Leaf KG,30,40,35,2023-04-17
66,Neuro KG,90,100,95,2023-04-17
67,Okara KG,50,60,55,2023-04-17
68,Onion Dry (Indian) KG,32,35,33.67,2023-04-17
69,Onion Green KG,30,35,32.5,2023-04-17
70,Orange(Indian) KG,140,150,145,2023-04-17
71,Papaya(Indian) KG,70,80,75,2023-04-17
72,Papaya(Nepali) KG,60,70,65,2023-04-17
73,Parseley KG,220,250,235,2023-04-17
74,Pear(Local) KG,225,250,237.5,2023-04-17
75,Pineapple 1 Pc,180,200,190,2023-04-17
76,Pointed Gourd(Local) KG,90,100,95,2023-04-17
77,Pointed Gourd(Terai) KG,90,100,95,2023-04-17
78,Pomegranate KG,225,250,237.5,2023-04-17
79,Potato Red KG,32,35,33.33,2023-04-17
80,Potato Red(Indian) KG,30,32,31,2023-04-17
81,Potato White KG,28,30,29,2023-04-17
82,Pumpkin KG,40,45,42.33,2023-04-17
83,Raddish White(Hybrid) KG,30,35,32.67,2023-04-17
84,Raddish White(Local) KG,20,25,22.33,2023-04-17
85,Red Cabbbage KG,40,50,45,2023-04-17
86,Smooth Gourd KG,25,35,30,2023-04-17
87,Snake Gourd KG,30,40,35,2023-04-17
88,Spinach Leaf KG,100,110,105,2023-04-17
89,Sponge Gourd KG,50,60,55,2023-04-17
90,Squash(Long) KG,20,25,22.33,2023-04-17
91,Squash(Round) KG,20,25,22.33,2023-04-17
92,Strawberry KG,250,300,275,2023-04-17
93,Sugarbeet KG,60,70,65,2023-04-17
94,Sweet Orange KG,180,200,190,2023-04-17
95,Sweet Potato KG,70,80,75,2023-04-17
96,Sword Bean KG,60,70,65,2023-04-17
97,Tamarind KG,150,160,155,2023-04-17
98,Tofu KG,120,130,125,2023-04-17
99,Tomato Big(Indian) KG,40,50,45,2023-04-17
100,Tomato Big(Nepali) KG,40,50,45,2023-04-17
101,Tomato Small(Indian) KG,30,35,32.67,2023-04-17
102,Tomato Small(Local) KG,20,25,22.33,2023-04-17
103,Tomato Small(Terai) KG,30,35,32.67,2023-04-17
104,Tomato Small(Tunnel) KG,30,35,32.67,2023-04-17
105,Turnip KG,50,60,55,2023-04-17
106,Turnip A KG,60,70,65,2023-04-17
107,Water Melon(Green) KG,35,40,37.67,2023-04-17
108,Yam KG,60,70,65,2023-04-17
0,Amla KG,120,130,125,2023-04-18
1,Apple(Fuji) KG,225,250,237.5,2023-04-18
2,Apple(Jholey) KG,180,200,190,2023-04-18
3,Arum KG,40,50,45,2023-04-18
4,Asparagus KG,250,300,275,2023-04-18
5,Avocado KG,400,500,450,2023-04-18
6,Banana Per Dozen,160,170,165,2023-04-18
7,Barela KG,40,50,45,2023-04-18
8,Bauhania flower KG,220,250,233.33,2023-04-18
9,Bitter Gourd KG,50,60,55,2023-04-18
10,Bottle Gourd KG,25,30,27.67,2023-04-18
11,Brd Leaf Mustard KG,30,40,35,2023-04-18
12,Brinjal Long KG,30,35,32.67,2023-04-18
13,Brinjal Round KG,40,50,45,2023-04-18
14,Brocauli KG,50,60,55,2023-04-18
15,Cabbage(Local) KG,10,15,12.33,2023-04-18
16,Capsicum KG,90,100,95,2023-04-18
17,Carrot(Local) KG,70,80,75,2023-04-18
18,Carrot(Terai) KG,50,60,55,2023-04-18
19,Cauli Local KG,25,35,30,2023-04-18
20,Cauli Local(Jyapu) KG,40,50,45,2023-04-18
21,Celery KG,120,150,135,2023-04-18
22,Chilli Dry KG,450,480,465,2023-04-18
23,Chilli Green KG,60,70,65,2023-04-18
24,Chilli Green(Akbare) KG,250,300,275,2023-04-18
25,Chilli Green(Bullet) KG,60,70,65,2023-04-18
26,Chilli Green(Machhe) KG,70,80,75,2023-04-18
