,Product,Minimum,Maximum,Average,Date
0,Apple(Jholey) KG,90.0,100.0,95.0,2019-01-01
1,Arum KG,45.0,50.0,48.0,2019-01-01
2,Bakula KG,85.0,90.0,88.0,2019-01-01
3,Bamboo Shoot KG,110.0,120.0,115.0,2019-01-01
4,Banana Per Dozen,70.0,80.0,75.0,2019-01-01
5,Barela KG,55.0,60.0,58.0,2019-01-01
6,Bitter Gourd KG,110.0,120.0,115.0,2019-01-01
7,Bottle Gourd KG,55.0,60.0,58.0,2019-01-01
8,Brd Leaf Mustard KG,30.0,40.0,35.0,2019-01-01
9,Brinjal Long KG,35.0,40.0,37.0,2019-01-01
10,Brinjal Round KG,35.0,40.0,38.0,2019-01-01
11,Brocauli KG,40.0,45.0,42.0,2019-01-01
12,Cabbage(Local) KG,8.0,12.0,10.0,2019-01-01
13,Capsicum KG,75.0,80.0,78.0,2019-01-01
14,Carrot(Local) KG,55.0,60.0,57.0,2019-01-01
15,Cauli Local KG,40.0,45.0,42.0,2019-01-01
16,Cauli Terai KG,35.0,40.0,38.0,2019-01-01
17,Celery KG,170.0,180.0,175.0,2019-01-01
18,Chilli Dry KG,210.0,220.0,215.0,2019-01-01
19,Chilli Green KG,60.0,65.0,62.0,2019-01-01
20,Coriander Green KG,140.0,150.0,145.0,2019-01-01
21,Cow pea(Long) KG,45.0,50.0,48.0,2019-01-01
22,Cress Leaf KG,90.0,100.0,95.0,2019-01-01
23,Cucumber(Local) KG,45.0,50.0,47.0,2019-01-01
24,Fennel Leaf KG,90.0,100.0,95.0,2019-01-01
25,Fenugreek Leaf KG,90.0,100.0,95.0,2019-01-01
26,Fish Fresh KG,260.0,265.0,263.0,2019-01-01
27,French Bean(Local) KG,65.0,70.0,67.0,2019-01-01
28,Garlic Dry Chinese KG,150.0,160.0,155.0,2019-01-01
29,Garlic Dry Nepali KG,120.0,130.0,125.0,2019-01-01
30,Garlic Green KG,90.0,100.0,95.0,2019-01-01
31,Ginger KG,110.0,120.0,115.0,2019-01-01
32,Grapes(Green) KG,170.0,180.0,175.0,2019-01-01
33,Green Peas KG,50.0,55.0,52.0,2019-01-01
34,Gundruk KG,230.0,240.0,235.0,2019-01-01
35,Knolkhol KG,40.0,45.0,43.0,2019-01-01
36,Lettuce KG,90.0,100.0,95.0,2019-01-01
37,Lime KG,130.0,150.0,140.0,2019-01-01
38,Mint KG,270.0,280.0,275.0,2019-01-01
39,Mombin KG,55.0,60.0,58.0,2019-01-01
40,Mushroom(Kanya) KG,160.0,170.0,165.0,2019-01-01
41,Okara KG,110.0,120.0,115.0,2019-01-01
42,Onion Dry (Indian) KG,26.0,28.0,27.0,2019-01-01
43,Onion Green KG,50.0,60.0,55.0,2019-01-01
44,Orange(Nepali) KG,80.0,90.0,85.0,2019-01-01
45,Papaya(Nepali) KG,80.0,90.0,85.0,2019-01-01
46,Parseley KG,170.0,180.0,175.0,2019-01-01
47,Pear(Local) KG,130.0,140.0,135.0,2019-01-01
48,Pineapple 1 Pc,100.0,110.0,105.0,2019-01-01
49,Pointed Gourd(Local) KG,95.0,100.0,98.0,2019-01-01
