,Product,Minimum,Maximum,Average,Date
0,Amla KG,80.0,90.0,85.0,2022-01-01
1,Apple(Fuji) KG,250.0,280.0,265.0,2022-01-01
2,Apple(Jholey) KG,180.0,200.0,193.33,2022-01-01
3,Arum KG,50.0,60.0,56.67,2022-01-01
4,Avocado KG,250.0,300.0,275.0,2022-01-01
5,Bakula KG,100.0,110.0,105.0,2022-01-01
6,Bamboo Shoot KG,80.0,90.0,86.67,2022-01-01
7,Banana Per Dozen,90.0,100.0,95.0,2022-01-01
8,Barela KG,60.0,70.0,66.67,2022-01-01
9,Bitter Gourd KG,90.0,100.0,95.0,2022-01-01
10,Bottle Gourd KG,50.0,60.0,56.67,2022-01-01
11,Brd Leaf Mustard KG,50.0,60.0,56.67,2022-01-01
12,Brinjal Long KG,30.0,40.0,36.67,2022-01-01
13,Brinjal Round KG,30.0,40.0,36.67,2022-01-01
14,Brocauli KG,70.0,80.0,76.67,2022-01-01
15,Cabbage KG,50.0,60.0,55.0,2022-01-01
16,Cabbage(Local) KG,50.0,60.0,55.0,2022-01-01
17,Cabbage(Terai) KG,50.0,60.0,55.0,2022-01-01
18,Capsicum KG,120.0,130.0,126.67,2022-01-01
19,Carrot(Local) KG,80.0,90.0,85.0,2022-01-01
20,Carrot(Terai) KG,70.0,80.0,75.0,2022-01-01
21,Cauli Local KG,40.0,50.0,45.0,2022-01-01
22,Cauli Local(Jyapu) KG,60.0,70.0,66.67,2022-01-01
23,Cauli Terai KG,40.0,50.0,45.0,2022-01-01
24,Celery KG,350.0,400.0,383.33,2022-01-01
25,Chilli Dry KG,300.0,320.0,310.0,2022-01-01
26,Chilli Green KG,40.0,50.0,45.0,2022-01-01
27,Chilli Green(Akbare) KG,220.0,250.0,235.0,2022-01-01
28,Chilli Green(Bullet) KG,50.0,60.0,56.67,2022-01-01
29,Chilli Green(Machhe) KG,80.0,90.0,86.67,2022-01-01
30,Christophine KG,60.0,70.0,65.0,2022-01-01
31,Clive Dry KG,320.0,350.0,335.0,2022-01-01
32,Clive Green KG,100.0,120.0,110.0,2022-01-01
33,Coriander Green KG,120.0,150.0,140.0,2022-01-01
34,Cow pea(Long) KG,80.0,90.0,85.0,2022-01-01
35,Cowpea(Short) KG,50.0,60.0,56.67,2022-01-01
36,Cress Leaf KG,110.0,120.0,115.0,2022-01-01
37,Cucumber(Hybrid) KG,50.0,60.0,56.67,2022-01-01
38,Cucumber(Local) KG,80.0,100.0,92.0,2022-01-01
39,Fennel Leaf KG,110.0,120.0,115.0,2022-01-01
40,Fenugreek Leaf KG,110.0,120.0,116.67,2022-01-01
41,Fish Fresh(Bachuwa) KG,235.0,250.0,245.0,2022-01-01
42,Fish Fresh(Chhadi) KG,230.0,250.0,240.0,2022-01-01
43,Fish Fresh(Mungari) KG,230.0,250.0,240.0,2022-01-01
44,Fish Fresh(Rahu) KG,285.0,300.0,295.0,2022-01-01
45,French Bean(Hybrid) KG,90.0,100.0,96.67,2022-01-01
46,French Bean(Local) KG,90.0,100.0,95.0,2022-01-01
47,French Bean(Rajma) KG,130.0,140.0,136.67,2022-01-01
48,Garlic Dry Chinese KG,300.0,320.0,310.0,2022-01-01
49,Garlic Dry Nepali KG,190.0,200.0,196.67,2022-01-01
50,Garlic Green KG,100.0,120.0,110.0,2022-01-01
51,Ginger KG,40.0,50.0,45.0,2022-01-01
52,Grapes(Black) KG,450.0,500.0,475.0,2022-01-01
53,Grapes(Green) KG,250.0,300.0,275.0,2022-01-01
54,Green Peas KG,60.0,70.0,66.0,2022-01-01
55,Guava KG,100.0,120.0,110.0,2022-01-01
56,Gundruk KG,200.0,250.0,225.0,2022-01-01
57,Jack Fruit KG,110.0,120.0,115.0,2022-01-01
58,Kinnow KG,120.0,150.0,135.0,2022-01-01
59,Kiwi KG,250.0,300.0,275.0,2022-01-01
60,Knolkhol KG,60.0,70.0,66.67,2022-01-01
61,Lemon KG,40.0,50.0,46.67,2022-01-01
62,Lime KG,90.0,100.0,96.67,2022-01-01
63,Mint KG,700.0,800.0,750.0,2022-01-01
64,Mombin KG,60.0,70.0,66.67,2022-01-01
65,Mushroom(Button) KG,280.0,300.0,288.0,2022-01-01
66,Mushroom(Kanya) KG,150.0,180.0,168.0,2022-01-01
67,Mustard Leaf KG,50.0,60.0,55.0,2022-01-01
68,Okara KG,120.0,130.0,125.0,2022-01-01
69,Onion Dry (Indian) KG,52.0,55.0,53.6,2022-01-01
70,Onion Green KG,70.0,80.0,76.67,2022-01-01
71,Orange(Indian) KG,90.0,100.0,96.67,2022-01-01
72,Orange(Nepali) KG,120.0,130.0,125.0,2022-01-01
73,Papaya(Indian) KG,80.0,90.0,86.67,2022-01-01
74,Papaya(Nepali) KG,70.0,80.0,76.67,2022-01-01
75,Parseley KG,500.0,600.0,550.0,2022-01-01
76,Pear(Chinese) KG,220.0,250.0,235.0,2022-01-01
77,Pineapple 1 Pc,120.0,130.0,125.0,2022-01-01
78,Pointed Gourd(Terai) KG,130.0,140.0,135.0,2022-01-01
79,Pomegranate KG,250.0,300.0,275.0,2022-01-01
80,Potato Red KG,32.0,36.0,33.6,2022-01-01
81,Potato Red(Indian) KG,25.0,30.0,27.5,2022-01-01
82,Potato White KG,22.0,25.0,23.5,2022-01-01
83,Pumpkin KG,25.0,30.0,28.33,2022-01-01
84,Raddish Red KG,50.0,60.0,56.67,2022-01-01
85,Raddish White(Hybrid) KG,35.0,40.0,38.33,2022-01-01
86,Raddish White(Local) KG,25.0,30.0,27.5,2022-01-01
87,Red Cabbbage KG,150.0,200.0,175.0,2022-01-01
88,Spinach Leaf KG,110.0,120.0,115.0,2022-01-01
89,Squash(Long) KG,40.0,50.0,45.0,2022-01-01
90,Squash(Round) KG,30.0,40.0,36.67,2022-01-01
91,Strawberry KG,500.0,600.0,550.0,2022-01-01
92,Sugarbeet KG,100.0,110.0,106.67,2022-01-01
93,Sugarcane Per Piece,90.0,100.0,96.67,2022-01-01
94,Sweet Orange KG,120.0,130.0,125.0,2022-01-01
95,Sweet Potato KG,60.0,70.0,66.67,2022-01-01
96,Sword Bean KG,40.0,50.0,45.0,2022-01-01
97,Tamarind KG,140.0,150.0,146.67,2022-01-01
98,Tofu KG,80.0,90.0,86.67,2022-01-01
99,Tomato Big(Indian) KG,101.0,101.0,101.0,2022-01-01
100,Tomato Big(Nepali) KG,110.0,120.0,115.0,2022-01-01
101,Tomato Small(Indian) KG,55.0,65.0,60.0,2022-01-01
102,Tomato Small(Local) KG,40.0,50.0,45.0,2022-01-01
103,Tomato Small(Terai) KG,60.0,70.0,65.0,2022-01-01
104,Tomato Small(Tunnel) KG,50.0,60.0,55.0,2022-01-01
105,Turnip KG,60.0,70.0,66.67,2022-01-01
106,Turnip A KG,70.0,80.0,75.0,2022-01-01
107,Water Melon(Green) KG,110.0,120.0,116.67,2022-01-01
108,Yam KG,50.0,60.0,55.0,2022-01-01
0,Amla KG,80.0,90.0,85.0,2022-01-02
1,Apple(Fuji) KG,250.0,280.0,265.0,2022-01-02
2,Apple(Jholey) KG,180.0,200.0,190.0,2022-01-02
3,Arum KG,40.0,50.0,45.0,2022-01-02
4,Avocado KG,250.0,300.0,275.0,2022-01-02
5,Bakula KG,110.0,120.0,115.0,2022-01-02
6,Bamboo Shoot KG,80.0,90.0,85.0,2022-01-02
7,Banana Per Dozen,90.0,100.0,95.0,2022-01-02
8,Barela KG,60.0,70.0,65.0,2022-01-02
9,Bitter Gourd KG,90.0,100.0,95.0,2022-01-02
10,Bottle Gourd KG,50.0,60.0,55.0,2022-01-02
11,Brd Leaf Mustard KG,40.0,50.0,45.0,2022-01-02
12,Brinjal Long KG,35.0,40.0,37.67,2022-01-02
13,Brinjal Round KG,40.0,50.0,45.0,2022-01-02
14,Brocauli KG,50.0,60.0,55.0,2022-01-02
15,Cabbage KG,40.0,50.0,45.0,2022-01-02
16,Cabbage(Local) KG,40.0,50.0,45.0,2022-01-02
17,Cabbage(Terai) KG,40.0,50.0,45.0,2022-01-02
18,Capsicum KG,120.0,130.0,125.0,2022-01-02
19,Carrot(Local) KG,80.0,90.0,85.0,2022-01-02
20,Carrot(Terai) KG,60.0,70.0,65.0,2022-01-02
21,Cauli Local KG,30.0,40.0,35.0,2022-01-02
22,Cauli Local(Jyapu) KG,50.0,60.0,55.0,2022-01-02
23,Cauli Terai KG,30.0,35.0,32.33,2022-01-02
24,Celery KG,350.0,400.0,375.0,2022-01-02
25,Chilli Dry KG,300.0,320.0,310.0,2022-01-02
26,Chilli Green KG,40.0,50.0,45.0,2022-01-02
27,Chilli Green(Akbare) KG,230.0,250.0,240.0,2022-01-02
28,Chilli Green(Bullet) KG,50.0,60.0,55.0,2022-01-02
29,Chilli Green(Machhe) KG,90.0,100.0,95.0,2022-01-02
30,Christophine KG,50.0,60.0,55.0,2022-01-02
31,Clive Dry KG,330.0,350.0,340.0,2022-01-02
32,Clive Green KG,100.0,110.0,105.0,2022-01-02
33,Coriander Green KG,100.0,120.0,110.0,2022-01-02
34,Cow pea(Long) KG,80.0,90.0,85.0,2022-01-02
35,Cowpea(Short) KG,50.0,60.0,55.0,2022-01-02
36,Cress Leaf KG,110.0,120.0,115.0,2022-01-02
37,Cucumber(Hybrid) KG,50.0,60.0,55.0,2022-01-02
38,Cucumber(Local) KG,90.0,100.0,95.0,2022-01-02
39,Fennel Leaf KG,110.0,120.0,115.0,2022-01-02
40,Fenugreek Leaf KG,110.0,120.0,115.0,2022-01-02
41,Fish Fresh(Bachuwa) KG,235.0,250.0,242.5,2022-01-02
42,Fish Fresh(Chhadi) KG,230.0,250.0,240.0,2022-01-02
43,Fish Fresh(Mungari) KG,230.0,250.0,240.0,2022-01-02
44,Fish Fresh(Rahu) KG,285.0,300.0,292.5,2022-01-02
45,French Bean(Hybrid) KG,80.0,90.0,85.0,2022-01-02
46,French Bean(Local) KG,80.0,90.0,85.0,2022-01-02
47,French Bean(Rajma) KG,130.0,140.0,135.0,2022-01-02
48,Garlic Dry Chinese KG,300.0,320.0,310.0,2022-01-02
49,Garlic Dry Nepali KG,190.0,200.0,195.0,2022-01-02
50,Garlic Green KG,80.0,90.0,85.0,2022-01-02
51,Ginger KG,40.0,50.0,45.0,2022-01-02
52,Grapes(Black) KG,450.0,500.0,475.0,2022-01-02
53,Grapes(Green) KG,250.0,300.0,275.0,2022-01-02
54,Green Peas KG,70.0,80.0,75.0,2022-01-02
55,Guava KG,100.0,110.0,105.0,2022-01-02
56,Gundruk KG,250.0,300.0,275.0,2022-01-02
57,Jack Fruit KG,110.0,120.0,115.0,2022-01-02
58,Kinnow KG,130.0,150.0,140.0,2022-01-02
59,Kiwi KG,250.0,300.0,275.0,2022-01-02
60,Knolkhol KG,60.0,70.0,65.0,2022-01-02
61,Lemon KG,40.0,50.0,45.0,2022-01-02
62,Lime KG,90.0,100.0,95.0,2022-01-02
63,Mint KG,700.0,800.0,750.0,2022-01-02
64,Mombin KG,110.0,120.0,115.0,2022-01-02
65,Mushroom(Button) KG,280.0,300.0,290.0,2022-01-02
66,Mushroom(Kanya) KG,150.0,180.0,165.0,2022-01-02
67,Mustard Leaf KG,50.0,60.0,55.0,2022-01-02
68,Okara KG,110.0,120.0,115.0,2022-01-02
