,Product,Minimum,Maximum,Average,Date
0,Apple(Jholey) KG,90.0,100.0,95.0,2018-01-01
1,Arum KG,45.0,50.0,48.0,2018-01-01
2,Bakula KG,70.0,80.0,75.0,2018-01-01
3,Bamboo Shoot KG,120.0,130.0,125.0,2018-01-01
4,Banana Per Dozen,40.0,45.0,43.0,2018-01-01
5,Barela KG,40.0,45.0,42.0,2018-01-01
6,Bitter Gourd KG,55.0,60.0,58.0,2018-01-01
7,Bottle Gourd KG,35.0,40.0,38.0,2018-01-01
8,Brd Leaf Mustard KG,35.0,40.0,38.0,2018-01-01
9,Brinjal Long KG,25.0,30.0,28.0,2018-01-01
10,Brinjal Round KG,25.0,30.0,28.0,2018-01-01
11,Brocauli KG,35.0,40.0,38.0,2018-01-01
12,Cabbage(Local) KG,28.0,30.0,29.0,2018-01-01
13,Capsicum KG,55.0,60.0,58.0,2018-01-01
14,Carrot(Local) KG,40.0,45.0,42.0,2018-01-01
15,Cauli Local KG,20.0,25.0,22.0,2018-01-01
16,Cauli Terai KG,18.0,20.0,19.0,2018-01-01
17,Celery KG,100.0,110.0,105.0,2018-01-01
18,Chilli Dry KG,190.0,200.0,195.0,2018-01-01
19,Chilli Green KG,55.0,60.0,58.0,2018-01-01
20,Coriander Green KG,70.0,80.0,75.0,2018-01-01
21,Cow pea(Long) KG,55.0,60.0,58.0,2018-01-01
22,Cress Leaf KG,50.0,55.0,53.0,2018-01-01
23,Cucumber(Local) KG,40.0,45.0,42.0,2018-01-01
24,Fennel Leaf KG,50.0,55.0,53.0,2018-01-01
25,Fenugreek Leaf KG,50.0,55.0,53.0,2018-01-01
26,Fish Fresh KG,240.0,250.0,245.0,2018-01-01
27,French Bean(Local) KG,35.0,40.0,38.0,2018-01-01
28,Garlic Dry Chinese KG,150.0,160.0,155.0,2018-01-01
29,Garlic Dry Nepali KG,140.0,150.0,145.0,2018-01-01
30,Garlic Green KG,90.0,100.0,95.0,2018-01-01
31,Ginger KG,40.0,45.0,42.0,2018-01-01
32,Green Peas KG,65.0,70.0,68.0,2018-01-01
33,Gundruk KG,150.0,160.0,155.0,2018-01-01
34,Knolkhol KG,40.0,45.0,43.0,2018-01-01
35,Lemon KG,35.0,40.0,38.0,2018-01-01
36,Lettuce KG,100.0,110.0,105.0,2018-01-01
37,Lime KG,450.0,500.0,475.0,2018-01-01
38,Mint KG,120.0,130.0,125.0,2018-01-01
39,Mombin KG,50.0,55.0,52.0,2018-01-01
40,Mushroom(Kanya) KG,110.0,120.0,115.0,2018-01-01
41,Mustard Leaf KG,50.0,55.0,53.0,2018-01-01
42,Okara KG,95.0,100.0,98.0,2018-01-01
43,Onion Dry (Indian) KG,70.0,75.0,72.0,2018-01-01
44,Onion Green KG,70.0,80.0,75.0,2018-01-01
45,Orange(Nepali) KG,100.0,105.0,103.0,2018-01-01
46,Papaya(Nepali) KG,70.0,80.0,75.0,2018-01-01
47,Parseley KG,100.0,110.0,105.0,2018-01-01
48,Pear(Local) KG,90.0,100.0,95.0,2018-01-01
49,Pineapple 1 Pc,90.0,100.0,95.0,2018-01-01
50,Pomegranate KG,150.0,160.0,155.0,2018-01-01
51,Potato Red KG,34.0,36.0,35.0,2018-01-01
52,Potato White KG,30.0,33.0,31.0,2018-01-01
53,Pumpkin KG,18.0,20.0,19.0,2018-01-01
54,Raddish Red KG,30.0,35.0,33.0,2018-01-01
55,Raddish White(Local) KG,30.0,35.0,33.0,2018-01-01
56,Spinach Leaf KG,50.0,55.0,53.0,2018-01-01
57,Squash(Long) KG,30.0,35.0,33.0,2018-01-01
58,Sugarbeet KG,70.0,80.0,75.0,2018-01-01
59,Sweet Orange KG,90.0,100.0,95.0,2018-01-01
60,Sword Bean KG,35.0,40.0,38.0,2018-01-01
61,Tamarind KG,120.0,130.0,125.0,2018-01-01
62,Tofu KG,70.0,80.0,75.0,2018-01-01
63,Tomato Big(Nepali) KG,40.0,45.0,42.0,2018-01-01
64,Tomato Small(Local) KG,20.0,25.0,22.0,2018-01-01
65,Turnip A KG,40.0,45.0,43.0,2018-01-01
66,Water Melon(Green) KG,40.0,45.0,43.0,2018-01-01
67,Yam KG,35.0,38.0,37.0,2018-01-01
0,Apple(Jholey) KG,90.0,100.0,95.0,2018-01-02
1,Arum KG,45.0,50.0,48.0,2018-01-02
2,Bakula KG,55.0,60.0,58.0,2018-01-02
3,Bamboo Shoot KG,120.0,130.0,125.0,2018-01-02
4,Banana Per Dozen,40.0,45.0,43.0,2018-01-02
5,Barela KG,40.0,45.0,42.0,2018-01-02
6,Bitter Gourd KG,55.0,60.0,58.0,2018-01-02
7,Bottle Gourd KG,35.0,40.0,38.0,2018-01-02
8,Brd Leaf Mustard KG,35.0,40.0,38.0,2018-01-02
9,Brinjal Long KG,25.0,30.0,28.0,2018-01-02
10,Brinjal Round KG,25.0,30.0,28.0,2018-01-02
11,Brocauli KG,35.0,40.0,38.0,2018-01-02
12,Cabbage(Local) KG,25.0,28.0,26.0,2018-01-02
13,Capsicum KG,60.0,65.0,62.0,2018-01-02
14,Carrot(Local) KG,40.0,45.0,42.0,2018-01-02
15,Cauli Local KG,25.0,30.0,28.0,2018-01-02
16,Cauli Terai KG,18.0,20.0,19.0,2018-01-02
17,Celery KG,100.0,110.0,105.0,2018-01-02
18,Chilli Dry KG,190.0,200.0,195.0,2018-01-02
19,Chilli Green KG,55.0,60.0,58.0,2018-01-02
20,Coriander Green KG,70.0,80.0,75.0,2018-01-02
21,Cow pea(Long) KG,55.0,60.0,58.0,2018-01-02
22,Cress Leaf KG,50.0,55.0,53.0,2018-01-02
23,Cucumber(Local) KG,40.0,45.0,42.0,2018-01-02
24,Fennel Leaf KG,50.0,55.0,53.0,2018-01-02
25,Fenugreek Leaf KG,50.0,55.0,53.0,2018-01-02
26,Fish Fresh KG,240.0,250.0,245.0,2018-01-02
27,French Bean(Local) KG,35.0,40.0,38.0,2018-01-02
28,Garlic Dry Chinese KG,150.0,160.0,155.0,2018-01-02
29,Garlic Dry Nepali KG,140.0,150.0,145.0,2018-01-02
30,Garlic Green KG,90.0,100.0,95.0,2018-01-02
31,Ginger KG,40.0,45.0,42.0,2018-01-02
32,Green Peas KG,70.0,75.0,72.0,2018-01-02
33,Gundruk KG,150.0,160.0,155.0,2018-01-02
34,Knolkhol KG,40.0,45.0,43.0,2018-01-02
35,Lemon KG,35.0,40.0,38.0,2018-01-02
36,Lettuce KG,100.0,110.0,105.0,2018-01-02
37,Lime KG,450.0,500.0,475.0,2018-01-02
38,Mint KG,120.0,130.0,125.0,2018-01-02
39,Mombin KG,45.0,50.0,48.0,2018-01-02
40,Mushroom(Kanya) KG,110.0,120.0,115.0,2018-01-02
41,Okara KG,100.0,110.0,105.0,2018-01-02
42,Onion Dry (Indian) KG,75.0,78.0,76.0,2018-01-02
43,Onion Green KG,70.0,80.0,75.0,2018-01-02
44,Orange(Nepali) KG,100.0,105.0,103.0,2018-01-02
45,Papaya(Nepali) KG,70.0,80.0,75.0,2018-01-02
46,Parseley KG,100.0,110.0,105.0,2018-01-02
47,Pear(Local) KG,90.0,100.0,95.0,2018-01-02
48,Pineapple 1 Pc,90.0,100.0,95.0,2018-01-02
49,Pomegranate KG,150.0,160.0,155.0,2018-01-02
50,Potato Red KG,30.0,33.0,32.0,2018-01-02
51,Potato White KG,28.0,30.0,29.0,2018-01-02
52,Pumpkin KG,18.0,20.0,19.0,2018-01-02
53,Raddish Red KG,25.0,30.0,28.0,2018-01-02
54,Raddish White(Local) KG,25.0,30.0,28.0,2018-01-02
55,Spinach Leaf KG,35.0,40.0,38.0,2018-01-02
56,Squash(Long) KG,30.0,35.0,33.0,2018-01-02
57,Sugarbeet KG,70.0,80.0,75.0,2018-01-02
58,Sweet Orange KG,90.0,100.0,95.0,2018-01-02
59,Sword Bean KG,35.0,40.0,38.0,2018-01-02
60,Tamarind KG,120.0,130.0,125.0,2018-01-02
61,Tofu KG,70.0,80.0,75.0,2018-01-02
62,Tomato Big(Nepali) KG,40.0,45.0,42.0,2018-01-02
63,Tomato Small(Local) KG,25.0,30.0,28.0,2018-01-02
64,Turnip A KG,40.0,45.0,43.0,2018-01-02
65,Water Melon(Green) KG,40.0,45.0,43.0,2018-01-02
66,Yam KG,35.0,40.0,38.0,2018-01-02
0,Apple(Jholey) KG,90.0,100.0,95.0,2018-01-03
1,Arum KG,45.0,50.0,48.0,2018-01-03
2,Bakula KG,55.0,60.0,58.0,2018-01-03
3,Bamboo Shoot KG,120.0,130.0,125.0,2018-01-03
4,Banana Per Dozen,40.0,45.0,43.0,2018-01-03
5,Barela KG,40.0,45.0,42.0,2018-01-03
6,Bitter Gourd KG,55.0,60.0,58.0,2018-01-03
7,Bottle Gourd KG,35.0,40.0,38.0,2018-01-03
8,Brd Leaf Mustard KG,35.0,40.0,38.0,2018-01-03
9,Brinjal Long KG,25.0,30.0,28.0,2018-01-03
10,Brinjal Round KG,25.0,30.0,28.0,2018-01-03
11,Brocauli KG,35.0,40.0,38.0,2018-01-03
12,Cabbage(Local) KG,25.0,30.0,28.0,2018-01-03
13,Capsicum KG,65.0,70.0,68.0,2018-01-03
14,Carrot(Local) KG,40.0,45.0,42.0,2018-01-03
15,Cauli Local KG,25.0,30.0,28.0,2018-01-03
16,Cauli Terai KG,18.0,20.0,19.0,2018-01-03
17,Celery KG,100.0,110.0,105.0,2018-01-03
18,Chilli Dry KG,190.0,200.0,195.0,2018-01-03
19,Chilli Green KG,60.0,65.0,62.0,2018-01-03
20,Coriander Green KG,60.0,70.0,65.0,2018-01-03
21,Cow pea(Long) KG,55.0,60.0,58.0,2018-01-03
22,Cress Leaf KG,50.0,55.0,53.0,2018-01-03
23,Cucumber(Local) KG,40.0,45.0,42.0,2018-01-03
24,Fennel Leaf KG,50.0,55.0,53.0,2018-01-03
25,Fenugreek Leaf KG,50.0,55.0,53.0,2018-01-03
26,Fish Fresh KG,240.0,250.0,245.0,2018-01-03
27,French Bean(Local) KG,40.0,45.0,42.0,2018-01-03
28,Garlic Dry Chinese KG,150.0,160.0,155.0,2018-01-03
