,Product,Minimum,Maximum,Average,Date
0,Apple(Jholey) KG,90.0,100.0,95.0,2020-01-01
1,Arum KG,45.0,50.0,48.0,2020-01-01
2,Bakula KG,75.0,80.0,78.0,2020-01-01
3,Bamboo Shoot KG,110.0,120.0,115.0,2020-01-01
4,Banana Per Dozen,80.0,90.0,85.0,2020-01-01
5,Bitter Gourd KG,110.0,120.0,115.0,2020-01-01
6,Bottle Gourd KG,45.0,50.0,48.0,2020-01-01
7,Brd Leaf Mustard KG,30.0,34.0,32.0,2020-01-01
8,Brinjal Long KG,65.0,70.0,68.0,2020-01-01
9,Brinjal Round KG,65.0,70.0,68.0,2020-01-01
10,Brocauli KG,75.0,80.0,78.0,2020-01-01
11,Cabbage KG,35.0,40.0,38.0,2020-01-01
12,Cabbage(Local) KG,35.0,40.0,38.0,2020-01-01
13,Cabbage(Terai) KG,35.0,40.0,38.0,2020-01-01
14,Capsicum KG,65.0,70.0,68.0,2020-01-01
15,Carrot(Local) KG,65.0,70.0,68.0,2020-01-01
16,Carrot(Terai) KG,60.0,65.0,62.0,2020-01-01
17,Cauli Local KG,75.0,80.0,78.0,2020-01-01
18,Cauli Local(Jyapu) KG,80.0,85.0,82.0,2020-01-01
19,Cauli Terai KG,60.0,65.0,62.0,2020-01-01
20,Celery KG,270.0,280.0,275.0,2020-01-01
21,Chilli Dry KG,390.0,400.0,395.0,2020-01-01
22,Chilli Green KG,50.0,60.0,55.0,2020-01-01
23,Chilli Green(Bullet) KG,50.0,60.0,55.0,2020-01-01
24,Christophine KG,50.0,60.0,55.0,2020-01-01
25,Coriander Green KG,60.0,70.0,65.0,2020-01-01
26,Cow pea(Long) KG,75.0,80.0,78.0,2020-01-01
27,Cowpea(Short) KG,75.0,80.0,78.0,2020-01-01
28,Cress Leaf KG,90.0,100.0,95.0,2020-01-01
29,Cucumber(Hybrid) KG,60.0,70.0,65.0,2020-01-01
30,Cucumber(Local) KG,100.0,120.0,112.0,2020-01-01
31,Fennel Leaf KG,90.0,100.0,95.0,2020-01-01
32,Fenugreek Leaf KG,90.0,100.0,95.0,2020-01-01
33,Fish Fresh(Bachuwa) KG,220.0,225.0,223.0,2020-01-01
34,Fish Fresh(Chhadi) KG,210.0,215.0,213.0,2020-01-01
35,Fish Fresh(Mungari) KG,240.0,245.0,243.0,2020-01-01
36,Fish Fresh(Rahu) KG,285.0,290.0,288.0,2020-01-01
37,French Bean(Hybrid) KG,95.0,100.0,98.0,2020-01-01
38,French Bean(Local) KG,95.0,100.0,98.0,2020-01-01
39,French Bean(Rajma) KG,65.0,70.0,68.0,2020-01-01
